,id,clos_beg_id,r_id_loc,start_time,dur,r_t_loc,sec,clock_drift,protagonist_appear,ava_charNet_score
S1E23,1.0,1.0,0.037037037037037035,96.805,100.76700000000001,0.06388651490003398,1.0,0.0,0.0,4.9815294045104785
S1E23,2.0,0.5,0.07407407407407407,197.57299999999998,11.094000000000001,0.1303884139077983,1.0,0.08135415373634193,0.0,3.0453272746756745
S1E23,3.0,0.3333333333333333,0.1111111111111111,208.667,59.059,0.13770990552807594,1.0,-0.14781431613481982,1.0,5.428122973085563
S1E23,4.0,0.25,0.14814814814814814,267.726,72.281,0.1766859262241258,1.0,1.448413359124049,1.0,8.995825197204018
S1E23,5.0,0.2,0.18518518518518517,340.00699999999995,16.934,0.22438781335277982,2.0,3.488232092210604,0.0,0.0
S1E23,6.0,0.16666666666666666,0.2222222222222222,356.94,15.765999999999998,0.2355627563495494,2.0,4.282942856039764,1.0,10.51935628764232
S1E23,7.0,0.14285714285714285,0.25925925925925924,372.70599999999996,15.182,0.2459675370314763,2.0,0.9631425990962676,0.0,0.0
S1E23,8.0,0.125,0.2962962962962963,387.88800000000003,107.85799999999999,0.2559869065806971,2.0,0.21891803069502874,1.0,4.207742515056928
S1E23,9.0,0.1111111111111111,0.3333333333333333,495.746,43.501999999999995,0.3271678551276509,2.0,0.04808819423332855,1.0,6.021009962490081
S1E23,10.0,0.1,0.37037037037037035,540.165,44.253,0.35648219948325865,2.0,-0.18111308063474774,1.0,8.995825197204018
S1E23,11.0,0.09090909090909091,0.4074074074074074,584.418,39.289,0.38568699204429585,2.0,0.8160544998999384,1.0,10.51935628764232
S1E23,12.0,0.08333333333333333,0.4444444444444444,623.707,12.720999999999998,0.41161578997733067,3.0,-0.811150220323325,1.0,8.995825197204018
S1E23,13.0,0.07692307692307693,0.48148148148148145,636.428,15.933,0.420011021174514,3.0,-1.6003551609183284,1.0,10.51935628764232
S1E23,14.0,0.07142857142857142,0.5185185185185185,652.361,19.77,0.4305260136015812,3.0,-0.4931775028728422,0.0,7.472294106765716
S1E23,15.0,0.06666666666666667,0.5555555555555556,672.13,43.043,0.44357257641402653,3.0,-0.5016773472905676,1.0,8.995825197204018
S1E23,16.0,0.0625,0.5925925925925926,715.174,13.222000000000001,0.4719794887362936,3.0,-0.13272988033224165,0.0,7.472294106765716
S1E23,17.0,0.058823529411764705,0.6296296296296297,728.395,82.875,0.4807046952183281,3.0,-0.27348839247061324,1.0,4.6813431047639975
S1E23,18.0,0.05555555555555555,0.6666666666666666,811.27,61.31100000000001,0.5353980986824086,3.0,-0.04389985753752046,1.0,8.600278053234186
S1E23,19.0,0.05263157894736842,0.7037037037037037,872.581,111.445,0.5758603280614282,3.0,-1.104835124311854,0.0,0.7733328890301454
S1E23,20.0,0.05,0.7407407407407407,984.0260000000001,279.863,0.6494085193019042,4.0,-0.5630402565685847,1.0,3.3065053498119577
S1E23,21.0,0.047619047619047616,0.7777777777777778,1263.889,10.761,0.8341042655905071,5.0,-0.2853916738508663,0.0,0.0
S1E23,22.0,0.045454545454545456,0.8148148148148148,1274.65,70.737,0.8412059936710741,5.0,-1.0105770694845386,0.0,2.5699879268867294
S1E23,23.0,0.043478260869565216,0.8518518518518519,1345.3870000000002,44.628,0.8878889171201078,5.0,0.9670865298835268,1.0,10.51935628764232
S1E23,24.0,0.041666666666666664,0.8888888888888888,1390.015,18.352,0.9173411911447833,5.0,-0.8578017980953321,1.0,10.51935628764232
S1E23,25.0,0.04,0.9259259259259259,1408.3670000000002,12.095,0.9294526039999604,5.0,-2.1068880653031408,1.0,10.51935628764232
S1E23,26.0,0.038461538461538464,0.9629629629629629,1420.4620000000002,10.469000000000001,0.9374347061405102,5.0,1.4916127098688483,0.0,0.0
S1E23,27.0,0.037037037037037035,1.0,1430.931,84.334,0.9443437286547237,5.0,0.0,1.0,7.196660157763215
