,id,clos_beg_id,r_id_loc,start_time,dur,r_t_loc,sec,clock_drift,protagonist_appear,ava_charNet_score
S1E28,1.0,1.0,0.043478260869565216,86.15299999999999,211.31099999999998,0.05651385607212531,1.0,0.0,1.0,3.5479637620273548
S1E28,2.0,0.5,0.08695652173913043,297.464,52.853,0.19512771096350312,1.0,-0.8558643015768149,1.0,8.9310221055843
S1E28,3.0,0.3333333333333333,0.13043478260869565,350.35,50.88399999999999,0.22981938498797608,2.0,-0.8143821187525722,1.0,10.169214318810132
S1E28,4.0,0.25,0.17391304347826086,401.235,189.923,0.26319846135478975,2.0,-0.8214429605843785,1.0,4.612352890635561
S1E28,5.0,0.2,0.21739130434782608,591.158,128.996,0.38778241184735823,2.0,-0.015951627151364032,1.0,6.18784860085311
S1E28,6.0,0.16666666666666666,0.2608695652173913,720.153,11.345,0.47239937079276706,3.0,-0.5924440876796072,0.0,8.81871711844923
S1E28,7.0,0.14285714285714285,0.30434782608695654,731.498,16.783,0.4798413600112303,3.0,-0.9846739298078114,1.0,9.071652371877
S1E28,8.0,0.125,0.34782608695652173,748.2819999999999,22.523000000000003,0.4908511746469893,3.0,-0.8517080013730127,1.0,10.169214318810132
S1E28,9.0,0.1111111111111111,0.391304347826087,770.804,8.008,0.5056249499822232,3.0,-0.7476560656659064,1.0,10.169214318810132
S1E28,10.0,0.1,0.43478260869565216,778.812,9.209,0.5108779644962341,3.0,-0.5800510815063182,1.0,10.169214318810132
S1E28,11.0,0.09090909090909091,0.4782608695652174,789.056,35.501999999999995,0.5175977298161052,3.0,2.726405324228406,1.0,9.831378744782613
S1E28,12.0,0.08333333333333333,0.5217391304347826,824.558,120.921,0.5408860066987743,3.0,-0.7591941699509419,1.0,3.3229757113014857
S1E28,13.0,0.07692307692307693,0.5652173913043478,945.4789999999999,8.575,0.6202066570545073,4.0,-1.070187411335315,1.0,10.169214318810132
S1E28,14.0,0.07142857142857142,0.6086956521739131,954.054,47.513999999999996,0.6258316070367305,4.0,0.6966640415482951,1.0,9.071652371877
S1E28,15.0,0.06666666666666667,0.6521739130434783,1001.635,15.249,0.6570433557369243,4.0,8.944047248686838,1.0,10.169214318810132
S1E28,16.0,0.0625,0.6956521739130435,1016.8839999999999,10.344000000000001,0.667046255128052,4.0,8.580652918027338,1.0,10.169214318810132
S1E28,17.0,0.058823529411764705,0.7391304347826086,1027.2269999999999,10.41,0.6738309615614205,4.0,8.411824526334541,1.0,10.169214318810132
S1E28,18.0,0.05555555555555555,0.782608695652174,1037.638,103.23700000000001,0.6806602740121407,4.0,0.5693066339664663,0.0,3.3247703995885542
S1E28,19.0,0.05263157894736842,0.8260869565217391,1141.241,50.317,0.7486208213017348,4.0,-1.1437106036692657,1.0,6.18784860085311
S1E28,20.0,0.05,0.8695652173913043,1191.558,159.293,0.7816273062294928,4.0,0.2940771329039952,1.0,7.2573218975015985
S1E28,21.0,0.047619047619047616,0.9130434782608695,1350.851,15.349,0.8861188697884758,5.0,-1.5515232223742614,0.0,0.0
S1E28,22.0,0.045454545454545456,0.9565217391304348,1367.3339999999998,141.875,0.8969312372003689,5.0,-1.4009648479933456,0.0,0.0
S1E28,23.0,0.043478260869565216,1.0,1509.2089999999998,15.249,0.9899971006088721,5.0,0.0,0.0,0.0
