Scene 1,"[('Inciting incident', 1.0)]"
Scene 2,"[('Non-Key', 1.0)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Climax 1', 0.5), ('Non-Key', 0.5)]"
Scene 5,"[('Inciting incident', 0.25), ('Non-Key', 0.75)]"
Scene 6,"[('Inciting incident', 0.25), ('Non-Key', 0.75)]"
Scene 7,"[('Climax 1', 0.5), ('Non-Key', 0.5)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Midpoint', 1.0)]"
Scene 11,"[('Obstacle', 0.25), ('Non-Key', 0.75)]"
Scene 12,"[('Non-Key', 1.0)]"
Scene 13,"[('Disaster', 0.25), ('Non-Key', 0.75)]"
Scene 14,"[('Non-Key', 1.0)]"
Scene 15,"[('Non-Key', 1.0)]"
Scene 16,"[('Disaster', 0.5), ('Crisis', 0.5)]"
Scene 17,"[('Obstacle', 0.25), ('Climax 2', 0.25), ('Non-Key', 0.5)]"
Scene 18,"[('Obstacle', 0.25), ('Crisis', 0.5), ('Non-Key', 0.25)]"
Scene 19,"[('Non-Key', 1.0)]"
Scene 20,"[('Non-Key', 1.0)]"
Scene 21,"[('Obstacle', 0.25), ('Non-Key', 0.75)]"
Scene 22,"[('Climax 2', 0.25), ('Non-Key', 0.75)]"
Scene 23,"[('Disaster', 0.25), ('Climax 2', 0.25), ('Non-Key', 0.5)]"
Scene 24,"[('Climax 3', 1.0)]"
Scene 25,"[('Wrap-up', 1.0)]"
