Scene 1,"[('Inciting incident', 1.0)]"
Scene 2,"[('Climax 1', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 3,"[('Midpoint', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Non-Key', 1.0)]"
Scene 6,"[('Climax 1', 0.3333333333333333), ('Midpoint', 0.3333333333333333), ('Crisis', 0.3333333333333333)]"
Scene 7,"[('Obstacle', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 8,"[('Obstacle', 0.3333333333333333), ('Midpoint', 0.3333333333333333), ('Non-Key', 0.3333333333333333)]"
Scene 9,"[('Disaster', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 10,"[('Crisis', 0.3333333333333333), ('Climax 2', 0.3333333333333333), ('Non-Key', 0.3333333333333333)]"
Scene 11,"[('Climax 2', 0.3333333333333333), ('Climax 3', 0.6666666666666666)]"
Scene 12,"[('Climax 3', 0.3333333333333333), ('Wrap-up', 0.6666666666666666)]"
