Scene 1,"[('Non-Key', 1.0)]"
Scene 2,"[('Inciting incident', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 3,"[('Inciting incident', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 4,"[('Inciting incident', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 5,"[('Climax 1', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 6,"[('Climax 1', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Obstacle', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 10,"[('Inciting incident', 0.3333333333333333), ('Obstacle', 0.6666666666666666)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Obstacle', 1.0)]"
Scene 13,"[('Obstacle', 0.6666666666666666), ('Midpoint', 0.3333333333333333)]"
Scene 14,"[('Midpoint', 0.3333333333333333), ('Disaster', 0.3333333333333333), ('Non-Key', 0.3333333333333333)]"
Scene 15,"[('Obstacle', 0.3333333333333333), ('Crisis', 0.3333333333333333), ('Non-Key', 0.3333333333333333)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Midpoint', 0.3333333333333333), ('Crisis', 0.3333333333333333), ('Non-Key', 0.3333333333333333)]"
Scene 18,"[('Non-Key', 1.0)]"
Scene 19,"[('Non-Key', 1.0)]"
Scene 20,"[('Non-Key', 1.0)]"
Scene 21,"[('Climax 2', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 22,"[('Non-Key', 1.0)]"
Scene 23,"[('Disaster', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 24,"[('Disaster', 0.3333333333333333), ('Crisis', 0.3333333333333333), ('Non-Key', 0.3333333333333333)]"
Scene 25,"[('Non-Key', 1.0)]"
Scene 26,"[('Non-Key', 1.0)]"
Scene 27,"[('Climax 2', 0.3333333333333333), ('Climax 3', 0.3333333333333333), ('Non-Key', 0.3333333333333333)]"
Scene 28,"[('Climax 3', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 29,"[('Non-Key', 1.0)]"
Scene 30,"[('Non-Key', 1.0)]"
Scene 31,"[('Non-Key', 1.0)]"
Scene 32,"[('Non-Key', 1.0)]"
Scene 33,"[('Wrap-up', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 34,"[('Non-Key', 1.0)]"
Scene 35,"[('Climax 2', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 36,"[('Climax 3', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 37,"[('Wrap-up', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
