Scene 1,"[('Inciting incident', 1.0)]"
Scene 2,"[('Inciting incident', 0.2), ('Climax 1', 0.2), ('Obstacle', 0.4), ('Non-Key', 0.2)]"
Scene 3,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 4,"[('Inciting incident', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 5,"[('Inciting incident', 0.2), ('Obstacle', 0.6000000000000001), ('Non-Key', 0.2)]"
Scene 6,"[('Obstacle', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Obstacle', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 9,"[('Inciting incident', 0.2), ('Climax 1', 0.4), ('Obstacle', 0.2), ('Non-Key', 0.2)]"
Scene 10,"[('Inciting incident', 0.2), ('Obstacle', 0.4), ('Midpoint', 0.2), ('Non-Key', 0.2)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Climax 1', 0.4), ('Midpoint', 0.6000000000000001)]"
Scene 13,"[('Inciting incident', 0.2), ('Obstacle', 0.2), ('Disaster', 0.2), ('Non-Key', 0.4)]"
Scene 14,"[('Non-Key', 1.0)]"
Scene 15,"[('Midpoint', 0.2), ('Climax 2', 0.2), ('Non-Key', 0.6000000000000001)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Obstacle', 0.2), ('Disaster', 0.6000000000000001), ('Crisis', 0.2)]"
Scene 18,"[('Non-Key', 1.0)]"
Scene 19,"[('Crisis', 0.6000000000000001), ('Climax 2', 0.2), ('Non-Key', 0.2)]"
Scene 20,"[('Non-Key', 1.0)]"
Scene 21,"[('Crisis', 0.2), ('Climax 2', 0.6000000000000001), ('Climax 3', 0.2)]"
Scene 22,"[('Climax 3', 0.2), ('Non-Key', 0.8)]"
Scene 23,"[('Climax 3', 0.2), ('Non-Key', 0.8)]"
Scene 24,"[('Climax 3', 0.2), ('Wrap-up', 0.8)]"
