Scene 1,"[('Inciting incident', 1.0)]"
Scene 2,"[('Inciting incident', 0.2), ('Climax 1', 0.6000000000000001), ('Non-Key', 0.2)]"
Scene 3,"[('Obstacle', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 4,"[('Inciting incident', 0.2), ('Climax 1', 0.2), ('Obstacle', 0.2), ('Midpoint', 0.4)]"
Scene 5,"[('Non-Key', 1.0)]"
Scene 6,"[('Non-Key', 1.0)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Inciting incident', 0.4), ('Climax 1', 0.2), ('Non-Key', 0.4)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Non-Key', 1.0)]"
Scene 13,"[('Non-Key', 1.0)]"
Scene 14,"[('Obstacle', 0.6000000000000001), ('Climax 2', 0.4)]"
Scene 15,"[('Obstacle', 0.6000000000000001), ('Midpoint', 0.2), ('Non-Key', 0.2)]"
Scene 16,"[('Climax 2', 0.2), ('Climax 3', 0.2), ('Non-Key', 0.6000000000000001)]"
Scene 17,"[('Obstacle', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 18,"[('Non-Key', 1.0)]"
Scene 19,"[('Non-Key', 1.0)]"
Scene 20,"[('Climax 3', 0.8), ('Non-Key', 0.2)]"
Scene 21,"[('Wrap-up', 1.0)]"
