Scene 1,"[('Non-Key', 1.0)]"
Scene 2,"[('Non-Key', 1.0)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Inciting incident', 1.0)]"
Scene 5,"[('Inciting incident', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 6,"[('Inciting incident', 0.4), ('Climax 1', 0.4), ('Non-Key', 0.2)]"
Scene 7,"[('Obstacle', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 8,"[('Inciting incident', 0.6000000000000001), ('Non-Key', 0.4)]"
Scene 9,"[('Climax 1', 0.6000000000000001), ('Midpoint', 0.4)]"
Scene 10,"[('Non-Key', 1.0)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Non-Key', 1.0)]"
Scene 13,"[('Non-Key', 1.0)]"
Scene 14,"[('Non-Key', 1.0)]"
Scene 15,"[('Disaster', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Crisis', 0.2), ('Non-Key', 0.8)]"
Scene 18,"[('Non-Key', 1.0)]"
Scene 19,"[('Non-Key', 1.0)]"
Scene 20,"[('Non-Key', 1.0)]"
Scene 21,"[('Midpoint', 0.6000000000000001), ('Non-Key', 0.4)]"
Scene 22,"[('Non-Key', 1.0)]"
Scene 23,"[('Non-Key', 1.0)]"
Scene 24,"[('Non-Key', 1.0)]"
Scene 25,"[('Obstacle', 0.4), ('Crisis', 0.6000000000000001)]"
Scene 26,"[('Climax 2', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 27,"[('Climax 2', 0.6000000000000001), ('Non-Key', 0.4)]"
Scene 28,"[('Non-Key', 1.0)]"
Scene 29,"[('Climax 3', 0.6000000000000001), ('Non-Key', 0.4)]"
Scene 30,"[('Climax 3', 0.4), ('Wrap-up', 0.6000000000000001)]"
Scene 31,"[('Wrap-up', 0.4), ('Non-Key', 0.6000000000000001)]"
