Scene 1,"[('Inciting incident', 1.0)]"
Scene 2,"[('Inciting incident', 0.4), ('Climax 1', 0.6000000000000001)]"
Scene 3,"[('Midpoint', 0.2), ('Non-Key', 0.8)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Obstacle', 0.4), ('Disaster', 0.2), ('Non-Key', 0.4)]"
Scene 6,"[('Climax 1', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 7,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Midpoint', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 10,"[('Non-Key', 1.0)]"
Scene 11,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 12,"[('Non-Key', 1.0)]"
Scene 13,"[('Non-Key', 1.0)]"
Scene 14,"[('Non-Key', 1.0)]"
Scene 15,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 16,"[('Midpoint', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 17,"[('Non-Key', 1.0)]"
Scene 18,"[('Non-Key', 1.0)]"
Scene 19,"[('Disaster', 0.8), ('Non-Key', 0.2)]"
Scene 20,"[('Obstacle', 0.2), ('Climax 2', 0.4), ('Non-Key', 0.4)]"
Scene 21,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 22,"[('Climax 2', 0.2), ('Non-Key', 0.8)]"
Scene 23,"[('Crisis', 0.2), ('Climax 2', 0.2), ('Non-Key', 0.6000000000000001)]"
Scene 24,"[('Climax 2', 0.2), ('Non-Key', 0.8)]"
Scene 25,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 26,"[('Non-Key', 1.0)]"
Scene 27,"[('Non-Key', 1.0)]"
Scene 28,"[('Non-Key', 1.0)]"
Scene 29,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 30,"[('Climax 3', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 31,"[('Climax 3', 0.6000000000000001), ('Wrap-up', 0.4)]"
