Scene 1,"[('Inciting incident', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 2,"[('Inciting incident', 0.8), ('Obstacle', 0.2)]"
Scene 3,"[('Inciting incident', 0.2), ('Climax 1', 0.2), ('Obstacle', 0.2), ('Non-Key', 0.4)]"
Scene 4,"[('Climax 1', 0.8), ('Midpoint', 0.2)]"
Scene 5,"[('Non-Key', 1.0)]"
Scene 6,"[('Obstacle', 0.6000000000000001), ('Non-Key', 0.4)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Obstacle', 0.8), ('Non-Key', 0.2)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Midpoint', 0.6000000000000001), ('Disaster', 0.2), ('Climax 2', 0.2)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Non-Key', 1.0)]"
Scene 13,"[('Inciting incident', 0.2), ('Disaster', 0.2), ('Non-Key', 0.6000000000000001)]"
Scene 14,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 15,"[('Obstacle', 0.2), ('Crisis', 0.2), ('Non-Key', 0.6000000000000001)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Non-Key', 1.0)]"
Scene 18,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 19,"[('Disaster', 0.2), ('Climax 2', 0.6000000000000001), ('Climax 3', 0.2)]"
Scene 20,"[('Obstacle', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 21,"[('Crisis', 0.2), ('Climax 3', 0.6000000000000001), ('Non-Key', 0.2)]"
Scene 22,"[('Wrap-up', 1.0)]"
