Scene 1,"[('Non-Key', 1.0)]"
Scene 2,"[('Non-Key', 1.0)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Inciting incident', 0.25), ('Non-Key', 0.75)]"
Scene 6,"[('Non-Key', 1.0)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Inciting incident', 0.25), ('Non-Key', 0.75)]"
Scene 9,"[('Inciting incident', 0.75), ('Non-Key', 0.25)]"
Scene 10,"[('Non-Key', 1.0)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Inciting incident', 0.25), ('Climax 1', 0.75)]"
Scene 13,"[('Climax 1', 0.25), ('Obstacle', 0.25), ('Non-Key', 0.5)]"
Scene 14,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 15,"[('Non-Key', 1.0)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Obstacle', 0.25), ('Midpoint', 0.75)]"
Scene 18,"[('Non-Key', 1.0)]"
Scene 19,"[('Non-Key', 1.0)]"
Scene 20,"[('Disaster', 0.25), ('Non-Key', 0.75)]"
Scene 21,"[('Non-Key', 1.0)]"
Scene 22,"[('Obstacle', 0.25), ('Non-Key', 0.75)]"
Scene 23,"[('Midpoint', 0.25), ('Non-Key', 0.75)]"
Scene 24,"[('Non-Key', 1.0)]"
Scene 25,"[('Disaster', 0.25), ('Non-Key', 0.75)]"
Scene 26,"[('Crisis', 0.25), ('Non-Key', 0.75)]"
Scene 27,"[('Inciting incident', 0.25), ('Crisis', 0.25), ('Non-Key', 0.5)]"
Scene 28,"[('Climax 2', 0.75), ('Non-Key', 0.25)]"
Scene 29,"[('Crisis', 0.5), ('Climax 3', 0.5)]"
