Scene 1,"[('Non-Key', 1.0)]"
Scene 2,"[('Non-Key', 1.0)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Climax 1', 0.2), ('Non-Key', 0.8)]"
Scene 5,"[('Non-Key', 1.0)]"
Scene 6,"[('Non-Key', 1.0)]"
Scene 7,"[('Inciting incident', 0.2), ('Non-Key', 0.8)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Non-Key', 1.0)]"
Scene 11,"[('Inciting incident', 0.2), ('Non-Key', 0.8)]"
Scene 12,"[('Non-Key', 1.0)]"
Scene 13,"[('Inciting incident', 0.4), ('Climax 1', 0.2), ('Non-Key', 0.4)]"
Scene 14,"[('Climax 1', 0.6000000000000001), ('Obstacle', 0.2), ('Midpoint', 0.2)]"
Scene 15,"[('Inciting incident', 0.2), ('Midpoint', 0.4), ('Crisis', 0.2), ('Climax 2', 0.2)]"
Scene 16,"[('Disaster', 0.2), ('Non-Key', 0.8)]"
Scene 17,"[('Obstacle', 0.2), ('Crisis', 0.4), ('Climax 2', 0.2), ('Non-Key', 0.2)]"
Scene 18,"[('Climax 2', 0.2), ('Climax 3', 0.8)]"
Scene 19,"[('Wrap-up', 1.0)]"
