Scene 1,"[('Non-Key', 1.0)]"
Scene 2,"[('Non-Key', 1.0)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Inciting incident', 1.0)]"
Scene 6,"[('Inciting incident', 0.5), ('Climax 1', 0.25), ('Non-Key', 0.25)]"
Scene 7,"[('Climax 1', 0.75), ('Disaster', 0.25)]"
Scene 8,"[('Obstacle', 0.75), ('Non-Key', 0.25)]"
Scene 9,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 10,"[('Obstacle', 0.75), ('Non-Key', 0.25)]"
Scene 11,"[('Obstacle', 0.25), ('Non-Key', 0.75)]"
Scene 12,"[('Non-Key', 1.0)]"
Scene 13,"[('Inciting incident', 0.25), ('Obstacle', 0.5), ('Non-Key', 0.25)]"
Scene 14,"[('Non-Key', 1.0)]"
Scene 15,"[('Non-Key', 1.0)]"
Scene 16,"[('Obstacle', 0.25), ('Midpoint', 0.25), ('Disaster', 0.25), ('Non-Key', 0.25)]"
Scene 17,"[('Midpoint', 0.25), ('Disaster', 0.25), ('Crisis', 0.25), ('Climax 2', 0.25)]"
Scene 18,"[('Obstacle', 0.25), ('Disaster', 0.25), ('Non-Key', 0.5)]"
Scene 19,"[('Obstacle', 0.25), ('Climax 2', 0.5), ('Non-Key', 0.25)]"
Scene 20,"[('Crisis', 0.25), ('Climax 2', 0.25), ('Climax 3', 0.5)]"
Scene 21,"[('Climax 3', 0.5), ('Wrap-up', 0.5)]"
