Scene 1,"[('Non-Key', 1.0)]"
Scene 2,"[('Inciting incident', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 3,"[('Inciting incident', 1.0)]"
Scene 4,"[('Inciting incident', 0.5), ('Climax 1', 0.3333333333333333), ('Non-Key', 0.16666666666666666)]"
Scene 5,"[('Non-Key', 1.0)]"
Scene 6,"[('Non-Key', 1.0)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Climax 1', 0.6666666666666666), ('Obstacle', 0.3333333333333333)]"
Scene 11,"[('Obstacle', 0.16666666666666666), ('Non-Key', 0.8333333333333333)]"
Scene 12,"[('Non-Key', 1.0)]"
Scene 13,"[('Non-Key', 1.0)]"
Scene 14,"[('Non-Key', 1.0)]"
Scene 15,"[('Obstacle', 0.16666666666666666), ('Non-Key', 0.8333333333333333)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Midpoint', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 18,"[('Midpoint', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 19,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 20,"[('Disaster', 0.3333333333333333), ('Crisis', 0.5), ('Non-Key', 0.16666666666666666)]"
Scene 21,"[('Non-Key', 1.0)]"
Scene 22,"[('Non-Key', 1.0)]"
Scene 23,"[('Non-Key', 1.0)]"
Scene 24,"[('Non-Key', 1.0)]"
Scene 25,"[('Non-Key', 1.0)]"
Scene 26,"[('Obstacle', 0.16666666666666666), ('Non-Key', 0.8333333333333333)]"
Scene 27,"[('Obstacle', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 28,"[('Climax 2', 0.16666666666666666), ('Non-Key', 0.8333333333333333)]"
Scene 29,"[('Climax 2', 0.5), ('Non-Key', 0.5)]"
Scene 30,"[('Obstacle', 0.16666666666666666), ('Climax 2', 0.3333333333333333), ('Non-Key', 0.5)]"
Scene 31,"[('Non-Key', 1.0)]"
Scene 32,"[('Non-Key', 1.0)]"
Scene 33,"[('Non-Key', 1.0)]"
Scene 34,"[('Non-Key', 1.0)]"
Scene 35,"[('Non-Key', 1.0)]"
Scene 36,"[('Obstacle', 0.16666666666666666), ('Non-Key', 0.8333333333333333)]"
Scene 37,"[('Disaster', 0.3333333333333333), ('Crisis', 0.16666666666666666), ('Non-Key', 0.5)]"
Scene 38,"[('Climax 3', 0.5), ('Wrap-up', 0.16666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 39,"[('Non-Key', 1.0)]"
