Scene 1,"[('Non-Key', 1.0)]"
Scene 2,"[('Non-Key', 1.0)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Non-Key', 1.0)]"
Scene 6,"[('Non-Key', 1.0)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Non-Key', 1.0)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Inciting incident', 0.5), ('Non-Key', 0.5)]"
Scene 13,"[('Inciting incident', 0.5), ('Non-Key', 0.5)]"
Scene 14,"[('Climax 1', 0.5), ('Non-Key', 0.5)]"
Scene 15,"[('Non-Key', 1.0)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Inciting incident', 0.25), ('Obstacle', 0.25), ('Non-Key', 0.5)]"
Scene 18,"[('Non-Key', 1.0)]"
Scene 19,"[('Non-Key', 1.0)]"
Scene 20,"[('Inciting incident', 0.5), ('Non-Key', 0.5)]"
Scene 21,"[('Non-Key', 1.0)]"
Scene 22,"[('Inciting incident', 0.5), ('Climax 2', 0.5)]"
Scene 23,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 24,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 25,"[('Disaster', 0.5), ('Non-Key', 0.5)]"
Scene 26,"[('Crisis', 0.5), ('Non-Key', 0.5)]"
Scene 27,"[('Non-Key', 1.0)]"
Scene 28,"[('Non-Key', 1.0)]"
Scene 29,"[('Non-Key', 1.0)]"
Scene 30,"[('Non-Key', 1.0)]"
Scene 31,"[('Non-Key', 1.0)]"
Scene 32,"[('Non-Key', 1.0)]"
Scene 33,"[('Non-Key', 1.0)]"
Scene 34,"[('Non-Key', 1.0)]"
Scene 35,"[('Climax 1', 0.5), ('Non-Key', 0.5)]"
Scene 36,"[('Non-Key', 1.0)]"
Scene 37,"[('Non-Key', 1.0)]"
Scene 38,"[('Non-Key', 1.0)]"
Scene 39,"[('Non-Key', 1.0)]"
Scene 40,"[('Midpoint', 0.25), ('Non-Key', 0.75)]"
Scene 41,"[('Climax 3', 0.5), ('Non-Key', 0.5)]"
Scene 42,"[('Non-Key', 1.0)]"
Scene 43,"[('Non-Key', 1.0)]"
Scene 44,"[('Non-Key', 1.0)]"
Scene 45,"[('Obstacle', 0.25), ('Non-Key', 0.75)]"
Scene 46,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 47,"[('Non-Key', 1.0)]"
Scene 48,"[('Non-Key', 1.0)]"
Scene 49,"[('Crisis', 0.5), ('Non-Key', 0.5)]"
Scene 50,"[('Obstacle', 0.25), ('Climax 2', 0.5), ('Non-Key', 0.25)]"
Scene 51,"[('Climax 3', 0.5), ('Non-Key', 0.5)]"
Scene 52,"[('Wrap-up', 1.0)]"
Scene 53,"[('Non-Key', 1.0)]"
