Scene 1,"[('Non-Key', 1.0)]"
Scene 2,"[('Inciting incident', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 3,"[('Inciting incident', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 4,"[('Climax 1', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 5,"[('Inciting incident', 0.6666666666666666), ('Obstacle', 0.3333333333333333)]"
Scene 6,"[('Non-Key', 1.0)]"
Scene 7,"[('Climax 1', 0.3333333333333333), ('Obstacle', 0.3333333333333333), ('Midpoint', 0.3333333333333333)]"
Scene 8,"[('Obstacle', 0.3333333333333333), ('Midpoint', 0.3333333333333333), ('Disaster', 0.3333333333333333)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Obstacle', 1.0)]"
Scene 11,"[('Disaster', 0.6666666666666666), ('Crisis', 0.3333333333333333)]"
Scene 12,"[('Climax 2', 1.0)]"
Scene 13,"[('Climax 3', 1.0)]"
Scene 14,"[('Wrap-up', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
