Scene 1,"[('Inciting incident', 1.0)]"
Scene 2,"[('Inciting incident', 0.5), ('Climax 1', 0.5)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Obstacle', 0.25), ('Non-Key', 0.75)]"
Scene 6,"[('Non-Key', 1.0)]"
Scene 7,"[('Inciting incident', 0.25), ('Non-Key', 0.75)]"
Scene 8,"[('Climax 1', 0.5), ('Obstacle', 0.5)]"
Scene 9,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 10,"[('Non-Key', 1.0)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Midpoint', 0.5), ('Non-Key', 0.5)]"
Scene 13,"[('Obstacle', 0.75), ('Non-Key', 0.25)]"
Scene 14,"[('Obstacle', 0.5), ('Midpoint', 0.5)]"
Scene 15,"[('Disaster', 0.5), ('Crisis', 0.25), ('Non-Key', 0.25)]"
Scene 16,"[('Crisis', 0.5), ('Climax 2', 0.5)]"
Scene 17,"[('Climax 2', 0.5), ('Climax 3', 0.5)]"
Scene 18,"[('Climax 3', 0.5), ('Wrap-up', 0.25), ('Non-Key', 0.25)]"
Scene 19,"[('Non-Key', 1.0)]"
Scene 20,"[('Wrap-up', 0.5), ('Non-Key', 0.5)]"
