Scene 1,"[('Inciting incident', 1.0)]"
Scene 2,"[('Climax 1', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Climax 1', 0.2), ('Non-Key', 0.8)]"
Scene 6,"[('Inciting incident', 0.4), ('Obstacle', 0.2), ('Non-Key', 0.4)]"
Scene 7,"[('Inciting incident', 0.2), ('Non-Key', 0.8)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Non-Key', 1.0)]"
Scene 10,"[('Midpoint', 0.2), ('Non-Key', 0.8)]"
Scene 11,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 12,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 13,"[('Obstacle', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 14,"[('Disaster', 0.2), ('Non-Key', 0.8)]"
Scene 15,"[('Obstacle', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Non-Key', 1.0)]"
Scene 18,"[('Obstacle', 0.4), ('Crisis', 0.2), ('Climax 2', 0.4)]"
Scene 19,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 20,"[('Non-Key', 1.0)]"
Scene 21,"[('Non-Key', 1.0)]"
Scene 22,"[('Non-Key', 1.0)]"
Scene 23,"[('Non-Key', 1.0)]"
Scene 24,"[('Non-Key', 1.0)]"
Scene 25,"[('Non-Key', 1.0)]"
Scene 26,"[('Non-Key', 1.0)]"
Scene 27,"[('Obstacle', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 28,"[('Midpoint', 0.6000000000000001), ('Non-Key', 0.4)]"
Scene 29,"[('Disaster', 0.4), ('Non-Key', 0.6000000000000001)]"
Scene 30,"[('Midpoint', 0.2), ('Climax 2', 0.6000000000000001), ('Non-Key', 0.2)]"
Scene 31,"[('Disaster', 0.2), ('Climax 3', 0.4), ('Non-Key', 0.4)]"
Scene 32,"[('Wrap-up', 0.6000000000000001), ('Non-Key', 0.4)]"
Scene 33,"[('Wrap-up', 0.2), ('Non-Key', 0.8)]"
