Scene 1,"[('Inciting incident', 0.8), ('Non-Key', 0.2)]"
Scene 2,"[('Climax 1', 0.2), ('Non-Key', 0.8)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Climax 1', 0.6000000000000001), ('Obstacle', 0.2), ('Midpoint', 0.2)]"
Scene 5,"[('Climax 1', 0.2), ('Obstacle', 0.6000000000000001), ('Midpoint', 0.2)]"
Scene 6,"[('Inciting incident', 0.2), ('Obstacle', 0.2), ('Non-Key', 0.6000000000000001)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Obstacle', 0.2), ('Non-Key', 0.8)]"
Scene 9,"[('Obstacle', 0.2), ('Climax 2', 0.2), ('Non-Key', 0.6000000000000001)]"
Scene 10,"[('Midpoint', 0.6000000000000001), ('Non-Key', 0.4)]"
Scene 11,"[('Obstacle', 0.2), ('Disaster', 0.6000000000000001), ('Non-Key', 0.2)]"
Scene 12,"[('Obstacle', 0.8), ('Crisis', 0.2)]"
Scene 13,"[('Non-Key', 1.0)]"
Scene 14,"[('Crisis', 0.2), ('Climax 2', 0.4), ('Climax 3', 0.2), ('Non-Key', 0.2)]"
Scene 15,"[('Climax 2', 0.2), ('Climax 3', 0.4), ('Non-Key', 0.4)]"
Scene 16,"[('Wrap-up', 0.6000000000000001), ('Non-Key', 0.4)]"
