Scene 1,"[('Inciting incident', 0.25), ('Non-Key', 0.75)]"
Scene 2,"[('Inciting incident', 0.25), ('Climax 1', 0.75)]"
Scene 3,"[('Non-Key', 1.0)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Non-Key', 1.0)]"
Scene 6,"[('Non-Key', 1.0)]"
Scene 7,"[('Climax 1', 0.25), ('Midpoint', 0.75)]"
Scene 8,"[('Inciting incident', 0.75), ('Obstacle', 0.25)]"
Scene 9,"[('Midpoint', 0.25), ('Non-Key', 0.75)]"
Scene 10,"[('Inciting incident', 0.5), ('Disaster', 0.5)]"
Scene 11,"[('Obstacle', 0.5), ('Non-Key', 0.5)]"
Scene 12,"[('Crisis', 0.75), ('Climax 2', 0.25)]"
Scene 13,"[('Climax 2', 0.25), ('Non-Key', 0.75)]"
Scene 14,"[('Inciting incident', 0.5), ('Climax 3', 0.5)]"
Scene 15,"[('Non-Key', 1.0)]"
Scene 16,"[('Wrap-up', 1.0)]"
