Scene 1,"[('Inciting incident', 1.0)]"
Scene 2,"[('Inciting incident', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 3,"[('Climax 1', 1.0)]"
Scene 4,"[('Non-Key', 1.0)]"
Scene 5,"[('Non-Key', 1.0)]"
Scene 6,"[('Midpoint', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 7,"[('Non-Key', 1.0)]"
Scene 8,"[('Non-Key', 1.0)]"
Scene 9,"[('Obstacle', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 10,"[('Non-Key', 1.0)]"
Scene 11,"[('Non-Key', 1.0)]"
Scene 12,"[('Non-Key', 1.0)]"
Scene 13,"[('Midpoint', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 14,"[('Non-Key', 1.0)]"
Scene 15,"[('Obstacle', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
Scene 16,"[('Non-Key', 1.0)]"
Scene 17,"[('Obstacle', 0.3333333333333333), ('Midpoint', 0.3333333333333333), ('Climax 2', 0.3333333333333333)]"
Scene 18,"[('Obstacle', 0.3333333333333333), ('Disaster', 0.3333333333333333), ('Non-Key', 0.3333333333333333)]"
Scene 19,"[('Obstacle', 0.3333333333333333), ('Disaster', 0.3333333333333333), ('Non-Key', 0.3333333333333333)]"
Scene 20,"[('Crisis', 1.0)]"
Scene 21,"[('Non-Key', 1.0)]"
Scene 22,"[('Climax 2', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 23,"[('Climax 2', 0.3333333333333333), ('Non-Key', 0.6666666666666666)]"
Scene 24,"[('Climax 3', 0.6666666666666666), ('Wrap-up', 0.3333333333333333)]"
Scene 25,"[('Wrap-up', 0.6666666666666666), ('Non-Key', 0.3333333333333333)]"
