Timecode List:,00:00:00.542,00:00:22.189,00:00:36.703,00:00:43.252,00:01:23.458,00:01:39.099,00:01:40.017,00:02:00.245,00:02:14.718,00:02:49.962,00:03:03.892,00:07:52.514,00:08:04.985,00:08:05.277,00:10:58.283,00:11:13.131,00:11:26.019,00:11:40.659,00:11:57.342,00:12:05.100,00:14:19.193,00:14:43.342,00:15:03.487,00:18:01.164,00:19:34.466,00:20:36.069,00:21:30.207,00:22:38.692,00:25:06.465,00:25:07.007,00:26:01.812,00:26:02.437
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,
1,2398,00:01:40.017,100.017,2883,00:02:00.245,120.245,485,00:00:20.229,20.229,,,,,,,,,,,,,,,,,,,,,,,
2,2883,00:02:00.245,120.245,3230,00:02:14.718,134.718,347,00:00:14.473,14.473,,,,,,,,,,,,,,,,,,,,,,,
3,3230,00:02:14.718,134.718,4075,00:02:49.962,169.962,845,00:00:35.244,35.244,,,,,,,,,,,,,,,,,,,,,,,
4,4075,00:02:49.962,169.962,4409,00:03:03.892,183.892,334,00:00:13.931,13.931,,,,,,,,,,,,,,,,,,,,,,,
5,4409,00:03:03.892,183.892,11329,00:07:52.514,472.514,6920,00:04:48.622,288.622,,,,,,,,,,,,,,,,,,,,,,,
6,11329,00:07:52.514,472.514,11628,00:08:04.985,484.985,299,00:00:12.471,12.471,,,,,,,,,,,,,,,,,,,,,,,
7,11635,00:08:05.277,485.277,15783,00:10:58.283,658.283,4148,00:02:53.006,173.006,,,,,,,,,,,,,,,,,,,,,,,
8,15783,00:10:58.283,658.283,16139,00:11:13.131,673.131,356,00:00:14.848,14.848,,,,,,,,,,,,,,,,,,,,,,,
9,16139,00:11:13.131,673.131,16448,00:11:26.019,686.019,309,00:00:12.888,12.888,,,,,,,,,,,,,,,,,,,,,,,
10,16448,00:11:26.019,686.019,16799,00:11:40.659,700.659,351,00:00:14.640,14.64,,,,,,,,,,,,,,,,,,,,,,,
11,16799,00:11:40.659,700.659,17199,00:11:57.342,717.342,400,00:00:16.683,16.683,,,,,,,,,,,,,,,,,,,,,,,
12,17199,00:11:57.342,717.342,17385,00:12:05.100,725.1,186,00:00:07.758,7.758,,,,,,,,,,,,,,,,,,,,,,,
13,17385,00:12:05.100,725.1,20600,00:14:19.193,859.193,3215,00:02:14.092,134.092,,,,,,,,,,,,,,,,,,,,,,,
14,20600,00:14:19.193,859.193,21179,00:14:43.342,883.342,579,00:00:24.149,24.149,,,,,,,,,,,,,,,,,,,,,,,
15,21179,00:14:43.342,883.342,21662,00:15:03.487,903.487,483,00:00:20.145,20.145,,,,,,,,,,,,,,,,,,,,,,,
16,21662,00:15:03.487,903.487,25922,00:18:01.164,1081.164,4260,00:02:57.678,177.678,,,,,,,,,,,,,,,,,,,,,,,
17,25922,00:18:01.164,1081.164,28159,00:19:34.466,1174.466,2237,00:01:33.302,93.302,,,,,,,,,,,,,,,,,,,,,,,
18,28159,00:19:34.466,1174.466,29636,00:20:36.069,1236.069,1477,00:01:01.603,61.603,,,,,,,,,,,,,,,,,,,,,,,
19,29636,00:20:36.069,1236.069,30934,00:21:30.207,1290.207,1298,00:00:54.137,54.137,,,,,,,,,,,,,,,,,,,,,,,
20,30934,00:21:30.207,1290.207,32576,00:22:38.692,1358.692,1642,00:01:08.485,68.485,,,,,,,,,,,,,,,,,,,,,,,
21,32576,00:22:38.692,1358.692,36119,00:25:06.465,1506.465,3543,00:02:27.773,147.773,,,,,,,,,,,,,,,,,,,,,,,
