Timecode List:,00:00:00.501,00:00:01.034,00:00:31.131,00:00:48.315,00:00:49.483,00:01:29.723,00:01:42.069,00:01:45.739,00:08:29.877,00:08:30.177,00:11:16.009,00:11:37.197,00:11:49.877,00:11:59.887,00:12:45.032,00:12:45.766,00:14:48.288,00:14:48.522,00:15:35.869,00:15:36.170,00:17:10.264,00:19:55.729,00:19:56.129,00:24:41.215,00:25:06.406,00:25:07.140,00:26:01.562,00:26:02.129
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,
1,3169,00:01:45.739,105.739,15281,00:08:29.877,509.877,12112,00:06:44.137,404.137,,,,,,,,,,,,,,,,,,,
2,15290,00:08:30.177,510.177,20260,00:11:16.009,676.009,4970,00:02:45.832,165.832,,,,,,,,,,,,,,,,,,,
3,20260,00:11:16.009,676.009,20895,00:11:37.197,697.197,635,00:00:21.188,21.188,,,,,,,,,,,,,,,,,,,
4,20895,00:11:37.197,697.197,21275,00:11:49.877,709.877,380,00:00:12.679,12.679,,,,,,,,,,,,,,,,,,,
5,21275,00:11:49.877,709.877,21575,00:11:59.887,719.887,300,00:00:10.010,10.01,,,,,,,,,,,,,,,,,,,
6,21575,00:11:59.887,719.887,22928,00:12:45.032,765.032,1353,00:00:45.145,45.145,,,,,,,,,,,,,,,,,,,
7,22950,00:12:45.766,765.766,26622,00:14:48.288,888.288,3672,00:02:02.523,122.523,,,,,,,,,,,,,,,,,,,
8,26629,00:14:48.522,888.522,28048,00:15:35.869,935.869,1419,00:00:47.347,47.347,,,,,,,,,,,,,,,,,,,
9,28057,00:15:36.170,936.17,30877,00:17:10.264,1030.264,2820,00:01:34.094,94.094,,,,,,,,,,,,,,,,,,,
10,30877,00:17:10.264,1030.264,35836,00:19:55.729,1195.729,4959,00:02:45.465,165.465,,,,,,,,,,,,,,,,,,,
11,35848,00:19:56.129,1196.129,44392,00:24:41.215,1481.215,8544,00:04:45.085,285.085,,,,,,,,,,,,,,,,,,,
12,44392,00:24:41.215,1481.215,45147,00:25:06.406,1506.406,755,00:00:25.192,25.192,,,,,,,,,,,,,,,,,,,
