Timecode List:,00:00:00.042,00:00:44.169,00:00:55.055,00:01:37.139,00:01:49.985,00:01:53.780,00:02:12.716,00:02:28.649,00:02:45.749,00:04:06.288,00:04:38.904,00:07:24.611,00:07:25.362,00:07:39.209,00:08:01.148,00:08:16.038,00:08:32.596,00:09:13.136,00:09:32.531,00:10:08.775,00:10:28.212,00:13:30.227,00:14:23.030,00:15:29.596,00:18:00.372,00:18:00.956,00:20:43.202,00:21:40.175,00:24:26.425,00:24:27.134,00:24:55.037,00:26:20.914,00:26:21.957,00:27:19.097,00:27:19.765
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,
1,2728,00:01:53.780,113.78,3182,00:02:12.716,132.716,454,00:00:18.936,18.936,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3182,00:02:12.716,132.716,3564,00:02:28.649,148.649,382,00:00:15.933,15.933,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3564,00:02:28.649,148.649,3974,00:02:45.749,165.749,410,00:00:17.100,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3974,00:02:45.749,165.749,5905,00:04:06.288,246.288,1931,00:01:20.539,80.539,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5905,00:04:06.288,246.288,6687,00:04:38.904,278.904,782,00:00:32.616,32.616,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6687,00:04:38.904,278.904,10660,00:07:24.611,444.611,3973,00:02:45.707,165.707,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10678,00:07:25.362,445.362,11010,00:07:39.209,459.209,332,00:00:13.847,13.847,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11010,00:07:39.209,459.209,11536,00:08:01.148,481.148,526,00:00:21.939,21.939,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11536,00:08:01.148,481.148,11893,00:08:16.038,496.038,357,00:00:14.890,14.89,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11893,00:08:16.038,496.038,12290,00:08:32.596,512.596,397,00:00:16.558,16.558,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12290,00:08:32.596,512.596,13262,00:09:13.136,553.136,972,00:00:40.541,40.541,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13262,00:09:13.136,553.136,13727,00:09:32.531,572.531,465,00:00:19.394,19.394,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13727,00:09:32.531,572.531,14596,00:10:08.775,608.775,869,00:00:36.245,36.245,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14596,00:10:08.775,608.775,15062,00:10:28.212,628.212,466,00:00:19.436,19.436,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15062,00:10:28.212,628.212,19426,00:13:30.227,810.227,4364,00:03:02.015,182.015,,,,,,,,,,,,,,,,,,,,,,,,,,
16,19426,00:13:30.227,810.227,20692,00:14:23.030,863.03,1266,00:00:52.803,52.803,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20692,00:14:23.030,863.03,22288,00:15:29.596,929.596,1596,00:01:06.567,66.567,,,,,,,,,,,,,,,,,,,,,,,,,,
18,22288,00:15:29.596,929.596,25903,00:18:00.372,1080.372,3615,00:02:30.776,150.776,,,,,,,,,,,,,,,,,,,,,,,,,,
19,25917,00:18:00.956,1080.956,29807,00:20:43.202,1243.202,3890,00:02:42.246,162.246,,,,,,,,,,,,,,,,,,,,,,,,,,
20,29807,00:20:43.202,1243.202,31173,00:21:40.175,1300.175,1366,00:00:56.974,56.974,,,,,,,,,,,,,,,,,,,,,,,,,,
21,31173,00:21:40.175,1300.175,35159,00:24:26.425,1466.425,3986,00:02:46.250,166.25,,,,,,,,,,,,,,,,,,,,,,,,,,
22,35176,00:24:27.134,1467.134,35845,00:24:55.037,1495.037,669,00:00:27.903,27.903,,,,,,,,,,,,,,,,,,,,,,,,,,
23,35845,00:24:55.037,1495.037,37904,00:26:20.914,1580.914,2059,00:01:25.878,85.878,,,,,,,,,,,,,,,,,,,,,,,,,,
