Timecode List:,00:00:00.000,00:00:16.850,00:00:30.322,00:00:30.864,00:00:56.139,00:01:24.376,00:01:28.797,00:01:42.352,00:01:57.117,00:02:10.172,00:02:26.855,00:02:49.711,00:05:17.943,00:05:37.254,00:08:31.553,00:10:35.385,00:10:52.069,00:11:06.625,00:12:51.104,00:13:59.631,00:14:00.591,00:14:29.036,00:15:10.869,00:15:58.125,00:15:58.667,00:16:47.508,00:17:26.797,00:17:36.598,00:18:04.251,00:19:19.409,00:19:40.472,00:21:11.230,00:21:48.475,00:22:01.113,00:22:46.033,00:23:11.558,00:23:41.588,00:23:42.089,00:25:16.517,00:25:16.642,00:26:08.861,00:26:09.736,00:27:06.919,00:27:07.586
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2129,00:01:28.797,88.797,2454,00:01:42.352,102.352,325,00:00:13.555,13.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2454,00:01:42.352,102.352,2808,00:01:57.117,117.117,354,00:00:14.765,14.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2808,00:01:57.117,117.117,3121,00:02:10.172,130.172,313,00:00:13.055,13.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3121,00:02:10.172,130.172,3521,00:02:26.855,146.855,400,00:00:16.683,16.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3521,00:02:26.855,146.855,4069,00:02:49.711,169.711,548,00:00:22.856,22.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4069,00:02:49.711,169.711,7623,00:05:17.943,317.943,3554,00:02:28.232,148.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7623,00:05:17.943,317.943,8086,00:05:37.254,337.254,463,00:00:19.311,19.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8086,00:05:37.254,337.254,12265,00:08:31.553,511.553,4179,00:02:54.299,174.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12265,00:08:31.553,511.553,15234,00:10:35.385,635.385,2969,00:02:03.832,123.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15234,00:10:35.385,635.385,15634,00:10:52.069,652.069,400,00:00:16.683,16.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15634,00:10:52.069,652.069,15983,00:11:06.625,666.625,349,00:00:14.556,14.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15983,00:11:06.625,666.625,18488,00:12:51.104,771.104,2505,00:01:44.479,104.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18488,00:12:51.104,771.104,20131,00:13:59.631,839.631,1643,00:01:08.527,68.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20154,00:14:00.591,840.591,20836,00:14:29.036,869.036,682,00:00:28.445,28.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20836,00:14:29.036,869.036,21839,00:15:10.869,910.869,1003,00:00:41.834,41.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21839,00:15:10.869,910.869,22972,00:15:58.125,958.125,1133,00:00:47.256,47.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22985,00:15:58.667,958.667,24156,00:16:47.508,1007.508,1171,00:00:48.841,48.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,24156,00:16:47.508,1007.508,25098,00:17:26.797,1046.797,942,00:00:39.289,39.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,25098,00:17:26.797,1046.797,25333,00:17:36.598,1056.598,235,00:00:09.801,9.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,25333,00:17:36.598,1056.598,25996,00:18:04.251,1084.251,663,00:00:27.653,27.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,25996,00:18:04.251,1084.251,27798,00:19:19.409,1159.409,1802,00:01:15.158,75.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,27798,00:19:19.409,1159.409,28303,00:19:40.472,1180.472,505,00:00:21.063,21.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,28303,00:19:40.472,1180.472,30479,00:21:11.230,1271.23,2176,00:01:30.757,90.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,30479,00:21:11.230,1271.23,31372,00:21:48.475,1308.475,893,00:00:37.246,37.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,31372,00:21:48.475,1308.475,31675,00:22:01.113,1321.113,303,00:00:12.638,12.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,31675,00:22:01.113,1321.113,32752,00:22:46.033,1366.033,1077,00:00:44.920,44.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,32752,00:22:46.033,1366.033,33364,00:23:11.558,1391.558,612,00:00:25.526,25.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,33364,00:23:11.558,1391.558,34084,00:23:41.588,1421.588,720,00:00:30.030,30.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,34096,00:23:42.089,1422.089,36360,00:25:16.517,1516.517,2264,00:01:34.428,94.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,36363,00:25:16.642,1516.642,37615,00:26:08.861,1568.861,1252,00:00:52.219,52.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
