Timecode List:,00:00:00.767,00:00:01.535,00:00:42.176,00:00:42.643,00:01:22.850,00:01:35.195,00:01:39.099,00:02:53.307,00:02:53.574,00:03:49.630,00:03:58.772,00:04:12.619,00:05:20.621,00:05:20.921,00:09:06.547,00:09:07.481,00:10:38.272,00:10:38.338,00:11:18.045,00:12:02.422,00:12:32.953,00:13:00.747,00:14:19.993,00:18:44.224,00:18:44.358,00:18:59.039,00:19:22.095,00:20:11.879,00:20:27.928,00:21:11.872,00:21:27.154,00:21:55.115,00:21:55.549,00:22:58.579,00:25:21.655,00:25:21.755,00:26:17.477,00:26:18.111
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2970,00:01:39.099,99.099,5194,00:02:53.307,173.307,2224,00:01:14.208,74.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5202,00:02:53.574,173.574,6882,00:03:49.630,229.63,1680,00:00:56.056,56.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6882,00:03:49.630,229.63,7156,00:03:58.772,238.772,274,00:00:09.142,9.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7156,00:03:58.772,238.772,7571,00:04:12.619,252.619,415,00:00:13.847,13.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7571,00:04:12.619,252.619,9609,00:05:20.621,320.621,2038,00:01:08.001,68.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9618,00:05:20.921,320.921,16380,00:09:06.547,546.547,6762,00:03:45.626,225.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,16408,00:09:07.481,547.481,19129,00:10:38.272,638.272,2721,00:01:30.791,90.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,19131,00:10:38.338,638.338,20321,00:11:18.045,678.045,1190,00:00:39.706,39.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20321,00:11:18.045,678.045,21651,00:12:02.422,722.422,1330,00:00:44.378,44.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,21651,00:12:02.422,722.422,22566,00:12:32.953,752.953,915,00:00:30.531,30.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22566,00:12:32.953,752.953,23399,00:13:00.747,780.747,833,00:00:27.794,27.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,23399,00:13:00.747,780.747,25774,00:14:19.993,859.993,2375,00:01:19.246,79.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,25774,00:14:19.993,859.993,33693,00:18:44.224,1124.224,7919,00:04:24.231,264.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,33697,00:18:44.358,1124.358,34137,00:18:59.039,1139.039,440,00:00:14.681,14.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,34137,00:18:59.039,1139.039,34828,00:19:22.095,1162.095,691,00:00:23.056,23.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,34828,00:19:22.095,1162.095,36320,00:20:11.879,1211.879,1492,00:00:49.783,49.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,36320,00:20:11.879,1211.879,36801,00:20:27.928,1227.928,481,00:00:16.049,16.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,36801,00:20:27.928,1227.928,38118,00:21:11.872,1271.872,1317,00:00:43.944,43.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,38118,00:21:11.872,1271.872,38576,00:21:27.154,1287.154,458,00:00:15.282,15.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,38576,00:21:27.154,1287.154,39414,00:21:55.115,1315.115,838,00:00:27.961,27.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,39427,00:21:55.549,1315.549,41316,00:22:58.579,1378.579,1889,00:01:03.030,63.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,41316,00:22:58.579,1378.579,45604,00:25:21.655,1521.655,4288,00:02:23.076,143.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
