Timecode List:,00:00:09.551,00:01:04.147,00:01:16.493,00:01:51.695,00:02:11.882,00:02:26.730,00:03:18.907,00:03:37.342,00:04:01.992,00:05:56.106,00:06:07.242,00:07:40.669,00:08:01.857,00:09:15.347,00:15:09.910,00:15:48.365,00:18:56.595,00:19:23.622,00:20:28.770,00:21:57.860,00:22:36.815,00:23:44.258,00:26:17.411
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,
1,1834,00:01:16.493,76.493,2678,00:01:51.695,111.695,844,00:00:35.202,35.202,,,,,,,,,,,,,,
2,2678,00:01:51.695,111.695,3162,00:02:11.882,131.882,484,00:00:20.187,20.187,,,,,,,,,,,,,,
3,3162,00:02:11.882,131.882,3518,00:02:26.730,146.73,356,00:00:14.848,14.848,,,,,,,,,,,,,,
4,3518,00:02:26.730,146.73,4769,00:03:18.907,198.907,1251,00:00:52.177,52.177,,,,,,,,,,,,,,
5,4769,00:03:18.907,198.907,5211,00:03:37.342,217.342,442,00:00:18.435,18.435,,,,,,,,,,,,,,
6,5211,00:03:37.342,217.342,5802,00:04:01.992,241.992,591,00:00:24.650,24.65,,,,,,,,,,,,,,
7,5802,00:04:01.992,241.992,8538,00:05:56.106,356.106,2736,00:01:54.114,114.114,,,,,,,,,,,,,,
8,8538,00:05:56.106,356.106,8805,00:06:07.242,367.242,267,00:00:11.136,11.136,,,,,,,,,,,,,,
9,8805,00:06:07.242,367.242,11045,00:07:40.669,460.669,2240,00:01:33.427,93.427,,,,,,,,,,,,,,
10,11045,00:07:40.669,460.669,11553,00:08:01.857,481.857,508,00:00:21.188,21.188,,,,,,,,,,,,,,
11,11553,00:08:01.857,481.857,13315,00:09:15.347,555.347,1762,00:01:13.490,73.49,,,,,,,,,,,,,,
12,13315,00:09:15.347,555.347,21816,00:15:09.910,909.91,8501,00:05:54.563,354.563,,,,,,,,,,,,,,
13,21816,00:15:09.910,909.91,22738,00:15:48.365,948.365,922,00:00:38.455,38.455,,,,,,,,,,,,,,
14,22738,00:15:48.365,948.365,27251,00:18:56.595,1136.595,4513,00:03:08.230,188.23,,,,,,,,,,,,,,
15,27251,00:18:56.595,1136.595,27899,00:19:23.622,1163.622,648,00:00:27.027,27.027,,,,,,,,,,,,,,
16,27899,00:19:23.622,1163.622,29461,00:20:28.770,1228.77,1562,00:01:05.148,65.148,,,,,,,,,,,,,,
17,29461,00:20:28.770,1228.77,31597,00:21:57.860,1317.86,2136,00:01:29.089,89.089,,,,,,,,,,,,,,
18,31597,00:21:57.860,1317.86,32531,00:22:36.815,1356.815,934,00:00:38.956,38.956,,,,,,,,,,,,,,
19,32531,00:22:36.815,1356.815,34148,00:23:44.258,1424.258,1617,00:01:07.442,67.442,,,,,,,,,,,,,,
20,34148,00:23:44.258,1424.258,37820,00:26:17.411,1577.411,3672,00:02:33.153,153.153,,,,,,,,,,,,,,
