Timecode List:,00:00:00.083,00:00:32.824,00:00:33.784,00:00:59.184,00:01:14.533,00:01:27.421,00:01:31.550,00:01:47.441,00:02:00.787,00:02:18.680,00:02:31.527,00:02:46.500,00:03:06.645,00:03:10.983,00:03:37.759,00:04:29.353,00:04:35.943,00:04:57.923,00:07:56.894,00:08:14.203,00:08:29.635,00:08:42.231,00:08:59.456,00:09:32.322,00:11:13.924,00:12:40.511,00:13:34.064,00:13:38.902,00:13:52.916,00:14:32.247,00:14:59.608,00:15:36.937,00:15:37.104,00:16:11.930,00:16:36.830,00:16:58.644,00:17:09.738,00:17:59.371,00:18:21.852,00:20:17.426,00:20:38.572,00:20:53.462,00:22:06.994,00:23:45.092,00:23:59.147,00:24:26.967,00:25:03.545,00:25:21.438,00:26:10.320,00:26:11.071,00:27:07.628,00:27:08.170
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2195,00:01:31.550,91.55,2576,00:01:47.441,107.441,381,00:00:15.891,15.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2576,00:01:47.441,107.441,2896,00:02:00.787,120.787,320,00:00:13.347,13.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2896,00:02:00.787,120.787,3325,00:02:18.680,138.68,429,00:00:17.893,17.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3325,00:02:18.680,138.68,3633,00:02:31.527,151.527,308,00:00:12.846,12.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3633,00:02:31.527,151.527,3992,00:02:46.500,166.5,359,00:00:14.973,14.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3992,00:02:46.500,166.5,4475,00:03:06.645,186.645,483,00:00:20.145,20.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4475,00:03:06.645,186.645,4579,00:03:10.983,190.983,104,00:00:04.338,4.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4579,00:03:10.983,190.983,5221,00:03:37.759,217.759,642,00:00:26.777,26.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5221,00:03:37.759,217.759,6458,00:04:29.353,269.353,1237,00:00:51.593,51.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6458,00:04:29.353,269.353,6616,00:04:35.943,275.943,158,00:00:06.590,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6616,00:04:35.943,275.943,7143,00:04:57.923,297.923,527,00:00:21.980,21.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7143,00:04:57.923,297.923,11434,00:07:56.894,476.894,4291,00:02:58.971,178.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11434,00:07:56.894,476.894,11849,00:08:14.203,494.203,415,00:00:17.309,17.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11849,00:08:14.203,494.203,12219,00:08:29.635,509.635,370,00:00:15.432,15.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12219,00:08:29.635,509.635,12521,00:08:42.231,522.231,302,00:00:12.596,12.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12521,00:08:42.231,522.231,12934,00:08:59.456,539.456,413,00:00:17.226,17.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,12934,00:08:59.456,539.456,13722,00:09:32.322,572.322,788,00:00:32.866,32.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,13722,00:09:32.322,572.322,16158,00:11:13.924,673.924,2436,00:01:41.602,101.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16158,00:11:13.924,673.924,18234,00:12:40.511,760.511,2076,00:01:26.587,86.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18234,00:12:40.511,760.511,19518,00:13:34.064,814.064,1284,00:00:53.554,53.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19518,00:13:34.064,814.064,19634,00:13:38.902,818.902,116,00:00:04.838,4.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19634,00:13:38.902,818.902,19970,00:13:52.916,832.916,336,00:00:14.014,14.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,19970,00:13:52.916,832.916,20913,00:14:32.247,872.247,943,00:00:39.331,39.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20913,00:14:32.247,872.247,21569,00:14:59.608,899.608,656,00:00:27.361,27.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,21569,00:14:59.608,899.608,22464,00:15:36.937,936.937,895,00:00:37.329,37.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,22468,00:15:37.104,937.104,23303,00:16:11.930,971.93,835,00:00:34.826,34.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,23303,00:16:11.930,971.93,23900,00:16:36.830,996.83,597,00:00:24.900,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,23900,00:16:36.830,996.83,24423,00:16:58.644,1018.644,523,00:00:21.813,21.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,24423,00:16:58.644,1018.644,24689,00:17:09.738,1029.738,266,00:00:11.094,11.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,24689,00:17:09.738,1029.738,25879,00:17:59.371,1079.371,1190,00:00:49.633,49.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,25879,00:17:59.371,1079.371,26418,00:18:21.852,1101.852,539,00:00:22.481,22.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,26418,00:18:21.852,1101.852,29189,00:20:17.426,1217.426,2771,00:01:55.574,115.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,29189,00:20:17.426,1217.426,29696,00:20:38.572,1238.572,507,00:00:21.146,21.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,29696,00:20:38.572,1238.572,30053,00:20:53.462,1253.462,357,00:00:14.890,14.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,30053,00:20:53.462,1253.462,31816,00:22:06.994,1326.994,1763,00:01:13.532,73.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,31816,00:22:06.994,1326.994,34168,00:23:45.092,1425.092,2352,00:01:38.098,98.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,34168,00:23:45.092,1425.092,34505,00:23:59.147,1439.147,337,00:00:14.056,14.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,34505,00:23:59.147,1439.147,35172,00:24:26.967,1466.967,667,00:00:27.819,27.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,35172,00:24:26.967,1466.967,36049,00:25:03.545,1503.545,877,00:00:36.578,36.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,36049,00:25:03.545,1503.545,36478,00:25:21.438,1521.438,429,00:00:17.893,17.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,36478,00:25:21.438,1521.438,37650,00:26:10.320,1570.32,1172,00:00:48.882,48.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
