Timecode List:,00:00:09.593,00:00:21.355,00:00:35.118,00:01:27.004,00:01:38.515,00:01:50.861,00:04:54.503,00:05:24.116,00:07:42.129,00:08:28.675,00:08:39.436,00:08:51.156,00:09:14.096,00:09:25.107,00:10:29.922,00:10:43.310,00:10:59.660,00:11:13.507,00:11:39.366,00:11:56.133,00:12:09.605,00:12:21.742,00:12:52.105,00:13:02.449,00:14:23.363,00:16:17.060,00:18:13.468,00:24:00.274,00:24:13.120,00:24:25.382,00:24:42.232,00:24:52.868,00:25:10.427,00:26:16.326
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,
1,2658,00:01:50.861,110.861,7061,00:04:54.503,294.503,4403,00:03:03.642,183.642,,,,,,,,,,,,,,,,,,,,,,,,,
2,7061,00:04:54.503,294.503,7771,00:05:24.116,324.116,710,00:00:29.613,29.613,,,,,,,,,,,,,,,,,,,,,,,,,
3,7771,00:05:24.116,324.116,11080,00:07:42.129,462.129,3309,00:02:18.013,138.013,,,,,,,,,,,,,,,,,,,,,,,,,
4,11080,00:07:42.129,462.129,12196,00:08:28.675,508.675,1116,00:00:46.547,46.547,,,,,,,,,,,,,,,,,,,,,,,,,
5,12196,00:08:28.675,508.675,12454,00:08:39.436,519.436,258,00:00:10.761,10.761,,,,,,,,,,,,,,,,,,,,,,,,,
6,12454,00:08:39.436,519.436,12735,00:08:51.156,531.156,281,00:00:11.720,11.72,,,,,,,,,,,,,,,,,,,,,,,,,
7,12735,00:08:51.156,531.156,13285,00:09:14.096,554.096,550,00:00:22.940,22.94,,,,,,,,,,,,,,,,,,,,,,,,,
8,13285,00:09:14.096,554.096,13549,00:09:25.107,565.107,264,00:00:11.011,11.011,,,,,,,,,,,,,,,,,,,,,,,,,
9,13549,00:09:25.107,565.107,15103,00:10:29.922,629.922,1554,00:01:04.815,64.815,,,,,,,,,,,,,,,,,,,,,,,,,
10,15103,00:10:29.922,629.922,15424,00:10:43.310,643.31,321,00:00:13.388,13.388,,,,,,,,,,,,,,,,,,,,,,,,,
11,15424,00:10:43.310,643.31,15816,00:10:59.660,659.66,392,00:00:16.350,16.35,,,,,,,,,,,,,,,,,,,,,,,,,
12,15816,00:10:59.660,659.66,16148,00:11:13.507,673.507,332,00:00:13.847,13.847,,,,,,,,,,,,,,,,,,,,,,,,,
13,16148,00:11:13.507,673.507,16768,00:11:39.366,699.366,620,00:00:25.859,25.859,,,,,,,,,,,,,,,,,,,,,,,,,
14,16768,00:11:39.366,699.366,17170,00:11:56.133,716.133,402,00:00:16.767,16.767,,,,,,,,,,,,,,,,,,,,,,,,,
15,17170,00:11:56.133,716.133,17493,00:12:09.605,729.605,323,00:00:13.472,13.472,,,,,,,,,,,,,,,,,,,,,,,,,
16,17493,00:12:09.605,729.605,17784,00:12:21.742,741.742,291,00:00:12.137,12.137,,,,,,,,,,,,,,,,,,,,,,,,,
17,17784,00:12:21.742,741.742,18512,00:12:52.105,772.105,728,00:00:30.364,30.364,,,,,,,,,,,,,,,,,,,,,,,,,
18,18512,00:12:52.105,772.105,18760,00:13:02.449,782.449,248,00:00:10.344,10.344,,,,,,,,,,,,,,,,,,,,,,,,,
19,18760,00:13:02.449,782.449,20700,00:14:23.363,863.363,1940,00:01:20.914,80.914,,,,,,,,,,,,,,,,,,,,,,,,,
20,20700,00:14:23.363,863.363,23426,00:16:17.060,977.06,2726,00:01:53.697,113.697,,,,,,,,,,,,,,,,,,,,,,,,,
21,23426,00:16:17.060,977.06,26217,00:18:13.468,1093.468,2791,00:01:56.408,116.408,,,,,,,,,,,,,,,,,,,,,,,,,
22,26217,00:18:13.468,1093.468,34532,00:24:00.274,1440.274,8315,00:05:46.805,346.805,,,,,,,,,,,,,,,,,,,,,,,,,
23,34532,00:24:00.274,1440.274,34840,00:24:13.120,1453.12,308,00:00:12.846,12.846,,,,,,,,,,,,,,,,,,,,,,,,,
24,34840,00:24:13.120,1453.12,35134,00:24:25.382,1465.382,294,00:00:12.262,12.262,,,,,,,,,,,,,,,,,,,,,,,,,
25,35134,00:24:25.382,1465.382,35538,00:24:42.232,1482.232,404,00:00:16.850,16.85,,,,,,,,,,,,,,,,,,,,,,,,,
26,35538,00:24:42.232,1482.232,35793,00:24:52.868,1492.868,255,00:00:10.636,10.636,,,,,,,,,,,,,,,,,,,,,,,,,
27,35793,00:24:52.868,1492.868,36214,00:25:10.427,1510.427,421,00:00:17.559,17.559,,,,,,,,,,,,,,,,,,,,,,,,,
28,36214,00:25:10.427,1510.427,37794,00:26:16.326,1576.326,1580,00:01:05.899,65.899,,,,,,,,,,,,,,,,,,,,,,,,,
