Timecode List:,00:00:00.042,00:00:35.035,00:00:35.494,00:01:29.047,00:01:33.218,00:01:45.564,00:05:26.869,00:05:57.774,00:06:13.749,00:06:41.902,00:07:01.046,00:08:16.288,00:10:44.228,00:11:23.475,00:11:40.200,00:12:03.473,00:12:41.512,00:17:23.794,00:17:39.393,00:17:39.643,00:20:20.762,00:24:02.109,00:24:29.052,00:25:13.013,00:25:46.964,00:26:06.483,00:26:06.984,00:27:04.166,00:27:04.833
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,
1,2235,00:01:33.218,93.218,2531,00:01:45.564,105.564,296,00:00:12.346,12.346,,,,,,,,,,,,,,,,,,,,
2,2531,00:01:45.564,105.564,7837,00:05:26.869,326.869,5306,00:03:41.305,221.305,,,,,,,,,,,,,,,,,,,,
3,7837,00:05:26.869,326.869,8578,00:05:57.774,357.774,741,00:00:30.906,30.906,,,,,,,,,,,,,,,,,,,,
4,8578,00:05:57.774,357.774,8961,00:06:13.749,373.749,383,00:00:15.974,15.974,,,,,,,,,,,,,,,,,,,,
5,8961,00:06:13.749,373.749,9636,00:06:41.902,401.902,675,00:00:28.153,28.153,,,,,,,,,,,,,,,,,,,,
6,9636,00:06:41.902,401.902,10095,00:07:01.046,421.046,459,00:00:19.144,19.144,,,,,,,,,,,,,,,,,,,,
7,10095,00:07:01.046,421.046,11899,00:08:16.288,496.288,1804,00:01:15.242,75.242,,,,,,,,,,,,,,,,,,,,
8,11899,00:08:16.288,496.288,15446,00:10:44.228,644.228,3547,00:02:27.940,147.94,,,,,,,,,,,,,,,,,,,,
9,15446,00:10:44.228,644.228,16387,00:11:23.475,683.475,941,00:00:39.248,39.248,,,,,,,,,,,,,,,,,,,,
10,16387,00:11:23.475,683.475,16788,00:11:40.200,700.2,401,00:00:16.725,16.725,,,,,,,,,,,,,,,,,,,,
11,16788,00:11:40.200,700.2,17346,00:12:03.473,723.473,558,00:00:23.273,23.273,,,,,,,,,,,,,,,,,,,,
12,17346,00:12:03.473,723.473,18258,00:12:41.512,761.512,912,00:00:38.038,38.038,,,,,,,,,,,,,,,,,,,,
13,18258,00:12:41.512,761.512,25026,00:17:23.794,1043.794,6768,00:04:42.282,282.282,,,,,,,,,,,,,,,,,,,,
14,25026,00:17:23.794,1043.794,25400,00:17:39.393,1059.393,374,00:00:15.599,15.599,,,,,,,,,,,,,,,,,,,,
15,25406,00:17:39.643,1059.643,29269,00:20:20.762,1220.762,3863,00:02:41.119,161.119,,,,,,,,,,,,,,,,,,,,
16,29269,00:20:20.762,1220.762,34576,00:24:02.109,1442.109,5307,00:03:41.346,221.346,,,,,,,,,,,,,,,,,,,,
17,34576,00:24:02.109,1442.109,35222,00:24:29.052,1469.052,646,00:00:26.944,26.944,,,,,,,,,,,,,,,,,,,,
18,35222,00:24:29.052,1469.052,36276,00:25:13.013,1513.013,1054,00:00:43.961,43.961,,,,,,,,,,,,,,,,,,,,
19,36276,00:25:13.013,1513.013,37090,00:25:46.964,1546.964,814,00:00:33.951,33.951,,,,,,,,,,,,,,,,,,,,
20,37090,00:25:46.964,1546.964,37558,00:26:06.483,1566.483,468,00:00:19.520,19.52,,,,,,,,,,,,,,,,,,,,
