Timecode List:,00:00:00.042,00:00:43.877,00:00:44.503,00:01:38.098,00:01:42.227,00:02:08.837,00:04:03.911,00:04:34.316,00:04:50.541,00:05:29.371,00:07:52.681,00:08:06.987,00:08:24.171,00:09:37.744,00:09:50.757,00:10:06.690,00:10:19.494,00:10:32.382,00:10:47.814,00:10:54.821,00:12:21.325,00:12:52.189,00:13:19.883,00:13:21.134,00:13:34.439,00:14:20.485,00:14:54.770,00:15:00.067,00:15:22.548,00:15:40.983,00:17:21.708,00:20:23.515,00:20:59.426,00:21:13.190,00:21:27.496,00:21:40.300,00:21:45.264,00:21:54.565,00:22:34.021,00:22:55.459,00:23:13.936,00:23:27.157,00:23:46.260,00:24:18.667,00:24:35.767,00:25:04.338,00:25:24.608,00:26:18.078,00:26:18.537,00:27:16.345,00:27:16.970
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2451,00:01:42.227,102.227,3089,00:02:08.837,128.837,638,00:00:26.610,26.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3089,00:02:08.837,128.837,5848,00:04:03.911,243.911,2759,00:01:55.073,115.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5848,00:04:03.911,243.911,6577,00:04:34.316,274.316,729,00:00:30.405,30.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6577,00:04:34.316,274.316,6966,00:04:50.541,290.541,389,00:00:16.225,16.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6966,00:04:50.541,290.541,7897,00:05:29.371,329.371,931,00:00:38.830,38.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7897,00:05:29.371,329.371,11333,00:07:52.681,472.681,3436,00:02:23.310,143.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11333,00:07:52.681,472.681,11676,00:08:06.987,486.987,343,00:00:14.306,14.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11676,00:08:06.987,486.987,12088,00:08:24.171,504.171,412,00:00:17.184,17.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,12088,00:08:24.171,504.171,13852,00:09:37.744,577.744,1764,00:01:13.574,73.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,13852,00:09:37.744,577.744,14164,00:09:50.757,590.757,312,00:00:13.013,13.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
