Timecode List:,00:00:00.626,00:00:01.251,00:00:22.689,00:00:23.482,00:00:51.802,00:01:18.829,00:01:19.454,00:02:03.790,00:03:46.810,00:08:29.760,00:09:22.855,00:09:23.230,00:11:51.336,00:12:03.473,00:12:14.776,00:12:51.146,00:14:03.427,00:14:13.604,00:14:23.614,00:14:42.382,00:15:29.012,00:15:49.575,00:15:49.700,00:18:15.596,00:18:31.278,00:19:35.342,00:20:12.462,00:20:46.413,00:24:05.404,00:25:21.563,00:25:22.231,00:26:17.661,00:26:18.245
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,
1,1905,00:01:19.454,79.454,2968,00:02:03.790,123.79,1063,00:00:44.336,44.336,,,,,,,,,,,,,,,,,,,,,,,,
2,2968,00:02:03.790,123.79,5438,00:03:46.810,226.81,2470,00:01:43.020,103.02,,,,,,,,,,,,,,,,,,,,,,,,
3,5438,00:03:46.810,226.81,12222,00:08:29.760,509.76,6784,00:04:42.950,282.95,,,,,,,,,,,,,,,,,,,,,,,,
4,12222,00:08:29.760,509.76,13495,00:09:22.855,562.855,1273,00:00:53.095,53.095,,,,,,,,,,,,,,,,,,,,,,,,
5,13504,00:09:23.230,563.23,17055,00:11:51.336,711.336,3551,00:02:28.106,148.106,,,,,,,,,,,,,,,,,,,,,,,,
6,17055,00:11:51.336,711.336,17346,00:12:03.473,723.473,291,00:00:12.137,12.137,,,,,,,,,,,,,,,,,,,,,,,,
7,17346,00:12:03.473,723.473,17617,00:12:14.776,734.776,271,00:00:11.303,11.303,,,,,,,,,,,,,,,,,,,,,,,,
8,17617,00:12:14.776,734.776,18489,00:12:51.146,771.146,872,00:00:36.370,36.37,,,,,,,,,,,,,,,,,,,,,,,,
9,18489,00:12:51.146,771.146,20222,00:14:03.427,843.427,1733,00:01:12.281,72.281,,,,,,,,,,,,,,,,,,,,,,,,
10,20222,00:14:03.427,843.427,20466,00:14:13.604,853.604,244,00:00:10.177,10.177,,,,,,,,,,,,,,,,,,,,,,,,
11,20466,00:14:13.604,853.604,20706,00:14:23.614,863.614,240,00:00:10.010,10.01,,,,,,,,,,,,,,,,,,,,,,,,
12,20706,00:14:23.614,863.614,21156,00:14:42.382,882.382,450,00:00:18.769,18.769,,,,,,,,,,,,,,,,,,,,,,,,
13,21156,00:14:42.382,882.382,22274,00:15:29.012,929.012,1118,00:00:46.630,46.63,,,,,,,,,,,,,,,,,,,,,,,,
14,22274,00:15:29.012,929.012,22767,00:15:49.575,949.575,493,00:00:20.562,20.562,,,,,,,,,,,,,,,,,,,,,,,,
15,22770,00:15:49.700,949.7,26268,00:18:15.596,1095.596,3498,00:02:25.896,145.896,,,,,,,,,,,,,,,,,,,,,,,,
16,26268,00:18:15.596,1095.596,26644,00:18:31.278,1111.278,376,00:00:15.682,15.682,,,,,,,,,,,,,,,,,,,,,,,,
17,26644,00:18:31.278,1111.278,28180,00:19:35.342,1175.342,1536,00:01:04.064,64.064,,,,,,,,,,,,,,,,,,,,,,,,
18,28180,00:19:35.342,1175.342,29070,00:20:12.462,1212.462,890,00:00:37.120,37.12,,,,,,,,,,,,,,,,,,,,,,,,
19,29070,00:20:12.462,1212.462,29884,00:20:46.413,1246.413,814,00:00:33.951,33.951,,,,,,,,,,,,,,,,,,,,,,,,
20,29884,00:20:46.413,1246.413,34655,00:24:05.404,1445.404,4771,00:03:18.991,198.991,,,,,,,,,,,,,,,,,,,,,,,,
21,34655,00:24:05.404,1445.404,36481,00:25:21.563,1521.563,1826,00:01:16.159,76.159,,,,,,,,,,,,,,,,,,,,,,,,
