Timecode List:,00:00:01.502,00:00:54.054,00:01:22.541,00:01:34.052,00:01:46.398,00:02:22.976,00:03:14.194,00:04:46.578,00:06:04.656,00:08:26.840,00:08:39.311,00:08:49.696,00:09:03.335,00:09:25.190,00:09:46.295,00:09:59.641,00:10:12.029,00:10:26.251,00:10:45.562,00:10:58.575,00:11:21.306,00:11:35.070,00:11:56.175,00:12:32.044,00:12:53.565,00:13:05.911,00:14:23.572,00:20:07.875,00:21:03.514,00:21:19.112,00:21:29.206,00:21:51.270,00:26:17.578
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,
1,2551,00:01:46.398,106.398,3428,00:02:22.976,142.976,877,00:00:36.578,36.578,,,,,,,,,,,,,,,,,,,,,,,,
2,3428,00:02:22.976,142.976,4656,00:03:14.194,194.194,1228,00:00:51.218,51.218,,,,,,,,,,,,,,,,,,,,,,,,
3,4656,00:03:14.194,194.194,6871,00:04:46.578,286.578,2215,00:01:32.384,92.384,,,,,,,,,,,,,,,,,,,,,,,,
4,6871,00:04:46.578,286.578,8743,00:06:04.656,364.656,1872,00:01:18.078,78.078,,,,,,,,,,,,,,,,,,,,,,,,
5,8743,00:06:04.656,364.656,12152,00:08:26.840,506.84,3409,00:02:22.184,142.184,,,,,,,,,,,,,,,,,,,,,,,,
6,12152,00:08:26.840,506.84,12451,00:08:39.311,519.311,299,00:00:12.471,12.471,,,,,,,,,,,,,,,,,,,,,,,,
7,12451,00:08:39.311,519.311,12700,00:08:49.696,529.696,249,00:00:10.385,10.385,,,,,,,,,,,,,,,,,,,,,,,,
8,12700,00:08:49.696,529.696,13027,00:09:03.335,543.335,327,00:00:13.639,13.639,,,,,,,,,,,,,,,,,,,,,,,,
9,13027,00:09:03.335,543.335,13551,00:09:25.190,565.19,524,00:00:21.855,21.855,,,,,,,,,,,,,,,,,,,,,,,,
10,13551,00:09:25.190,565.19,14057,00:09:46.295,586.295,506,00:00:21.104,21.104,,,,,,,,,,,,,,,,,,,,,,,,
11,14057,00:09:46.295,586.295,14377,00:09:59.641,599.641,320,00:00:13.347,13.347,,,,,,,,,,,,,,,,,,,,,,,,
12,14377,00:09:59.641,599.641,14674,00:10:12.029,612.029,297,00:00:12.387,12.387,,,,,,,,,,,,,,,,,,,,,,,,
13,14674,00:10:12.029,612.029,15015,00:10:26.251,626.251,341,00:00:14.223,14.223,,,,,,,,,,,,,,,,,,,,,,,,
14,15015,00:10:26.251,626.251,15478,00:10:45.562,645.562,463,00:00:19.311,19.311,,,,,,,,,,,,,,,,,,,,,,,,
15,15478,00:10:45.562,645.562,15790,00:10:58.575,658.575,312,00:00:13.013,13.013,,,,,,,,,,,,,,,,,,,,,,,,
16,15790,00:10:58.575,658.575,16335,00:11:21.306,681.306,545,00:00:22.731,22.731,,,,,,,,,,,,,,,,,,,,,,,,
17,16335,00:11:21.306,681.306,16665,00:11:35.070,695.07,330,00:00:13.764,13.764,,,,,,,,,,,,,,,,,,,,,,,,
18,16665,00:11:35.070,695.07,17171,00:11:56.175,716.175,506,00:00:21.104,21.104,,,,,,,,,,,,,,,,,,,,,,,,
19,17171,00:11:56.175,716.175,18031,00:12:32.044,752.044,860,00:00:35.869,35.869,,,,,,,,,,,,,,,,,,,,,,,,
20,18031,00:12:32.044,752.044,18547,00:12:53.565,773.565,516,00:00:21.522,21.522,,,,,,,,,,,,,,,,,,,,,,,,
21,18547,00:12:53.565,773.565,18843,00:13:05.911,785.911,296,00:00:12.346,12.346,,,,,,,,,,,,,,,,,,,,,,,,
22,18843,00:13:05.911,785.911,20705,00:14:23.572,863.572,1862,00:01:17.661,77.661,,,,,,,,,,,,,,,,,,,,,,,,
23,20705,00:14:23.572,863.572,28960,00:20:07.875,1207.875,8255,00:05:44.303,344.303,,,,,,,,,,,,,,,,,,,,,,,,
24,28960,00:20:07.875,1207.875,30294,00:21:03.514,1263.514,1334,00:00:55.639,55.639,,,,,,,,,,,,,,,,,,,,,,,,
25,30294,00:21:03.514,1263.514,30668,00:21:19.112,1279.112,374,00:00:15.599,15.599,,,,,,,,,,,,,,,,,,,,,,,,
26,30668,00:21:19.112,1279.112,30910,00:21:29.206,1289.206,242,00:00:10.093,10.093,,,,,,,,,,,,,,,,,,,,,,,,
27,30910,00:21:29.206,1289.206,31439,00:21:51.270,1311.27,529,00:00:22.064,22.064,,,,,,,,,,,,,,,,,,,,,,,,
28,31439,00:21:51.270,1311.27,37824,00:26:17.578,1577.578,6385,00:04:26.308,266.308,,,,,,,,,,,,,,,,,,,,,,,,
