Timecode List:,00:00:00.567,00:00:01.133,00:01:06.433,00:01:46.033,00:01:58.367,00:02:02.033,00:03:33.600,00:03:56.000,00:04:05.000,00:04:14.467,00:05:03.067,00:05:11.067,00:08:47.600,00:13:15.633,00:13:41.533,00:14:28.000,00:17:13.567,00:18:07.467,00:18:16.467,00:18:25.300,00:18:33.500,00:19:11.667,00:20:23.133,00:22:12.233,00:22:28.300,00:24:19.500,00:25:20.533,00:25:20.767
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,
1,3661,00:02:02.033,122.033,6408,00:03:33.600,213.6,2747,00:01:31.567,91.567,,,,,,,,,,,,,,,,,,,
2,6408,00:03:33.600,213.6,7080,00:03:56.000,236,672,00:00:22.400,22.4,,,,,,,,,,,,,,,,,,,
3,7080,00:03:56.000,236,7350,00:04:05.000,245,270,00:00:09.000,9,,,,,,,,,,,,,,,,,,,
4,7350,00:04:05.000,245,7634,00:04:14.467,254.467,284,00:00:09.467,9.467,,,,,,,,,,,,,,,,,,,
5,7634,00:04:14.467,254.467,9092,00:05:03.067,303.067,1458,00:00:48.600,48.6,,,,,,,,,,,,,,,,,,,
6,9092,00:05:03.067,303.067,9332,00:05:11.067,311.067,240,00:00:08.000,8,,,,,,,,,,,,,,,,,,,
7,9332,00:05:11.067,311.067,15828,00:08:47.600,527.6,6496,00:03:36.533,216.533,,,,,,,,,,,,,,,,,,,
8,15828,00:08:47.600,527.6,23869,00:13:15.633,795.633,8041,00:04:28.033,268.033,,,,,,,,,,,,,,,,,,,
9,23869,00:13:15.633,795.633,24646,00:13:41.533,821.533,777,00:00:25.900,25.9,,,,,,,,,,,,,,,,,,,
10,24646,00:13:41.533,821.533,26040,00:14:28.000,868,1394,00:00:46.467,46.467,,,,,,,,,,,,,,,,,,,
11,26040,00:14:28.000,868,31007,00:17:13.567,1033.567,4967,00:02:45.567,165.567,,,,,,,,,,,,,,,,,,,
12,31007,00:17:13.567,1033.567,32624,00:18:07.467,1087.467,1617,00:00:53.900,53.9,,,,,,,,,,,,,,,,,,,
13,32624,00:18:07.467,1087.467,32894,00:18:16.467,1096.467,270,00:00:09.000,9,,,,,,,,,,,,,,,,,,,
14,32894,00:18:16.467,1096.467,33159,00:18:25.300,1105.3,265,00:00:08.833,8.833,,,,,,,,,,,,,,,,,,,
15,33159,00:18:25.300,1105.3,33405,00:18:33.500,1113.5,246,00:00:08.200,8.2,,,,,,,,,,,,,,,,,,,
16,33405,00:18:33.500,1113.5,34550,00:19:11.667,1151.667,1145,00:00:38.167,38.167,,,,,,,,,,,,,,,,,,,
17,34550,00:19:11.667,1151.667,36694,00:20:23.133,1223.133,2144,00:01:11.467,71.467,,,,,,,,,,,,,,,,,,,
18,36694,00:20:23.133,1223.133,39967,00:22:12.233,1332.233,3273,00:01:49.100,109.1,,,,,,,,,,,,,,,,,,,
19,39967,00:22:12.233,1332.233,40449,00:22:28.300,1348.3,482,00:00:16.067,16.067,,,,,,,,,,,,,,,,,,,
20,40449,00:22:28.300,1348.3,43785,00:24:19.500,1459.5,3336,00:01:51.200,111.2,,,,,,,,,,,,,,,,,,,
21,43785,00:24:19.500,1459.5,45616,00:25:20.533,1520.533,1831,00:01:01.033,61.033,,,,,,,,,,,,,,,,,,,
