Timecode List:,00:00:00.083,00:00:25.108,00:00:42.334,00:00:47.172,00:01:41.560,00:01:45.939,00:02:15.135,00:03:33.547,00:05:13.021,00:05:45.470,00:07:22.526,00:09:53.886,00:10:23.207,00:12:25.412,00:12:43.931,00:14:45.886,00:14:46.094,00:15:51.493,00:16:08.677,00:17:26.880,00:18:05.419,00:19:41.306,00:20:34.359,00:20:56.590,00:21:12.564,00:22:09.538,00:22:45.324,00:25:27.903,00:25:45.295,00:26:00.769,00:26:09.027,00:27:06.752,00:27:07.419
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,
1,2540,00:01:45.939,105.939,3240,00:02:15.135,135.135,700,00:00:29.196,29.196,,,,,,,,,,,,,,,,,,,,,,,,
2,3240,00:02:15.135,135.135,5120,00:03:33.547,213.547,1880,00:01:18.412,78.412,,,,,,,,,,,,,,,,,,,,,,,,
3,5120,00:03:33.547,213.547,7505,00:05:13.021,313.021,2385,00:01:39.474,99.474,,,,,,,,,,,,,,,,,,,,,,,,
4,7505,00:05:13.021,313.021,8283,00:05:45.470,345.47,778,00:00:32.449,32.449,,,,,,,,,,,,,,,,,,,,,,,,
5,8283,00:05:45.470,345.47,10610,00:07:22.526,442.526,2327,00:01:37.055,97.055,,,,,,,,,,,,,,,,,,,,,,,,
6,10610,00:07:22.526,442.526,14239,00:09:53.886,593.886,3629,00:02:31.360,151.36,,,,,,,,,,,,,,,,,,,,,,,,
7,14239,00:09:53.886,593.886,14942,00:10:23.207,623.207,703,00:00:29.321,29.321,,,,,,,,,,,,,,,,,,,,,,,,
8,14942,00:10:23.207,623.207,17872,00:12:25.412,745.412,2930,00:02:02.206,122.206,,,,,,,,,,,,,,,,,,,,,,,,
9,17872,00:12:25.412,745.412,18316,00:12:43.931,763.931,444,00:00:18.519,18.519,,,,,,,,,,,,,,,,,,,,,,,,
10,18316,00:12:43.931,763.931,21240,00:14:45.886,885.886,2924,00:02:01.955,121.955,,,,,,,,,,,,,,,,,,,,,,,,
11,21245,00:14:46.094,886.094,22813,00:15:51.493,951.493,1568,00:01:05.399,65.399,,,,,,,,,,,,,,,,,,,,,,,,
12,22813,00:15:51.493,951.493,23225,00:16:08.677,968.677,412,00:00:17.184,17.184,,,,,,,,,,,,,,,,,,,,,,,,
13,23225,00:16:08.677,968.677,25100,00:17:26.880,1046.88,1875,00:01:18.203,78.203,,,,,,,,,,,,,,,,,,,,,,,,
14,25100,00:17:26.880,1046.88,26024,00:18:05.419,1085.419,924,00:00:38.539,38.539,,,,,,,,,,,,,,,,,,,,,,,,
15,26024,00:18:05.419,1085.419,28323,00:19:41.306,1181.306,2299,00:01:35.888,95.888,,,,,,,,,,,,,,,,,,,,,,,,
16,28323,00:19:41.306,1181.306,29595,00:20:34.359,1234.359,1272,00:00:53.053,53.053,,,,,,,,,,,,,,,,,,,,,,,,
17,29595,00:20:34.359,1234.359,30128,00:20:56.590,1256.59,533,00:00:22.231,22.231,,,,,,,,,,,,,,,,,,,,,,,,
18,30128,00:20:56.590,1256.59,30511,00:21:12.564,1272.564,383,00:00:15.974,15.974,,,,,,,,,,,,,,,,,,,,,,,,
19,30511,00:21:12.564,1272.564,31877,00:22:09.538,1329.538,1366,00:00:56.974,56.974,,,,,,,,,,,,,,,,,,,,,,,,
20,31877,00:22:09.538,1329.538,32735,00:22:45.324,1365.324,858,00:00:35.786,35.786,,,,,,,,,,,,,,,,,,,,,,,,
21,32735,00:22:45.324,1365.324,36633,00:25:27.903,1527.903,3898,00:02:42.579,162.579,,,,,,,,,,,,,,,,,,,,,,,,
22,36633,00:25:27.903,1527.903,37050,00:25:45.295,1545.295,417,00:00:17.392,17.392,,,,,,,,,,,,,,,,,,,,,,,,
23,37050,00:25:45.295,1545.295,37421,00:26:00.769,1560.769,371,00:00:15.474,15.474,,,,,,,,,,,,,,,,,,,,,,,,
