Timecode List:,00:00:00.167,00:00:00.334,00:00:31.448,00:00:31.990,00:01:00.727,00:01:25.586,00:01:29.840,00:01:46.148,00:02:04.833,00:02:22.643,00:03:08.772,00:03:21.994,00:03:37.968,00:03:51.023,00:04:14.129,00:04:35.234,00:04:48.372,00:05:03.053,00:06:35.145,00:06:59.878,00:08:34.181,00:08:46.902,00:10:48.106,00:11:35.070,00:13:52.875,00:14:46.303,00:14:59.358,00:15:15.249,00:18:06.086,00:18:29.776,00:18:51.798,00:19:11.443,00:20:02.202,00:20:56.089,00:21:12.147,00:21:32.042,00:21:47.224,00:22:11.957,00:22:29.308,00:24:56.622,00:25:27.694,00:25:41.500,00:26:07.568,00:26:08.277,00:27:06.210,00:27:06.877
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2154,00:01:29.840,89.84,2545,00:01:46.148,106.148,391,00:00:16.308,16.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2545,00:01:46.148,106.148,2993,00:02:04.833,124.833,448,00:00:18.685,18.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2993,00:02:04.833,124.833,3420,00:02:22.643,142.643,427,00:00:17.809,17.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3420,00:02:22.643,142.643,4526,00:03:08.772,188.772,1106,00:00:46.129,46.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4526,00:03:08.772,188.772,4843,00:03:21.994,201.994,317,00:00:13.222,13.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4843,00:03:21.994,201.994,5226,00:03:37.968,217.968,383,00:00:15.974,15.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5226,00:03:37.968,217.968,5539,00:03:51.023,231.023,313,00:00:13.055,13.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5539,00:03:51.023,231.023,6093,00:04:14.129,254.129,554,00:00:23.106,23.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6093,00:04:14.129,254.129,6599,00:04:35.234,275.234,506,00:00:21.104,21.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6599,00:04:35.234,275.234,6914,00:04:48.372,288.372,315,00:00:13.138,13.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6914,00:04:48.372,288.372,7266,00:05:03.053,303.053,352,00:00:14.681,14.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7266,00:05:03.053,303.053,9474,00:06:35.145,395.145,2208,00:01:32.092,92.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9474,00:06:35.145,395.145,10067,00:06:59.878,419.878,593,00:00:24.733,24.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10067,00:06:59.878,419.878,12328,00:08:34.181,514.181,2261,00:01:34.303,94.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,12328,00:08:34.181,514.181,12633,00:08:46.902,526.902,305,00:00:12.721,12.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,12633,00:08:46.902,526.902,15539,00:10:48.106,648.106,2906,00:02:01.205,121.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15539,00:10:48.106,648.106,16665,00:11:35.070,695.07,1126,00:00:46.964,46.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16665,00:11:35.070,695.07,19969,00:13:52.875,832.875,3304,00:02:17.804,137.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19969,00:13:52.875,832.875,21250,00:14:46.303,886.303,1281,00:00:53.428,53.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21250,00:14:46.303,886.303,21563,00:14:59.358,899.358,313,00:00:13.055,13.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21563,00:14:59.358,899.358,21944,00:15:15.249,915.249,381,00:00:15.891,15.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21944,00:15:15.249,915.249,26040,00:18:06.086,1086.086,4096,00:02:50.838,170.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,26040,00:18:06.086,1086.086,26608,00:18:29.776,1109.776,568,00:00:23.690,23.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,26608,00:18:29.776,1109.776,27136,00:18:51.798,1131.798,528,00:00:22.022,22.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,27136,00:18:51.798,1131.798,27607,00:19:11.443,1151.443,471,00:00:19.645,19.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,27607,00:19:11.443,1151.443,28824,00:20:02.202,1202.202,1217,00:00:50.759,50.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28824,00:20:02.202,1202.202,30116,00:20:56.089,1256.089,1292,00:00:53.887,53.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,30116,00:20:56.089,1256.089,30501,00:21:12.147,1272.147,385,00:00:16.058,16.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30501,00:21:12.147,1272.147,30978,00:21:32.042,1292.042,477,00:00:19.895,19.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30978,00:21:32.042,1292.042,31342,00:21:47.224,1307.224,364,00:00:15.182,15.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31342,00:21:47.224,1307.224,31935,00:22:11.957,1331.957,593,00:00:24.733,24.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,31935,00:22:11.957,1331.957,32351,00:22:29.308,1349.308,416,00:00:17.351,17.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,32351,00:22:29.308,1349.308,35883,00:24:56.622,1496.622,3532,00:02:27.314,147.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35883,00:24:56.622,1496.622,36628,00:25:27.694,1527.694,745,00:00:31.073,31.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36628,00:25:27.694,1527.694,36959,00:25:41.500,1541.5,331,00:00:13.805,13.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36959,00:25:41.500,1541.5,37584,00:26:07.568,1567.568,625,00:00:26.068,26.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
