Timecode List:,00:00:25.901,00:00:27.069,00:01:06.149,00:01:18.495,00:01:21.999,00:02:24.228,00:03:26.748,00:03:37.426,00:03:49.021,00:04:18.717,00:04:39.947,00:04:42.074,00:05:12.855,00:07:25.320,00:08:17.289,00:08:31.345,00:09:03.377,00:09:34.700,00:09:59.808,00:10:29.254,00:10:40.599,00:11:08.961,00:12:57.694,00:12:58.695,00:14:55.270,00:21:41.885,00:23:11.016,00:24:14.788,00:25:20.062,00:25:20.437,00:26:15.242,00:26:15.784
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,
1,1966,00:01:21.999,81.999,3458,00:02:24.228,144.228,1492,00:01:02.229,62.229,,,,,,,,,,,,,,,,,,,,,,,
2,3458,00:02:24.228,144.228,4957,00:03:26.748,206.748,1499,00:01:02.521,62.521,,,,,,,,,,,,,,,,,,,,,,,
3,4957,00:03:26.748,206.748,5213,00:03:37.426,217.426,256,00:00:10.677,10.677,,,,,,,,,,,,,,,,,,,,,,,
4,5213,00:03:37.426,217.426,5491,00:03:49.021,229.021,278,00:00:11.595,11.595,,,,,,,,,,,,,,,,,,,,,,,
5,5491,00:03:49.021,229.021,6203,00:04:18.717,258.717,712,00:00:29.696,29.696,,,,,,,,,,,,,,,,,,,,,,,
6,6203,00:04:18.717,258.717,6712,00:04:39.947,279.947,509,00:00:21.230,21.23,,,,,,,,,,,,,,,,,,,,,,,
7,6712,00:04:39.947,279.947,6763,00:04:42.074,282.074,51,00:00:02.127,2.127,,,,,,,,,,,,,,,,,,,,,,,
8,6763,00:04:42.074,282.074,7501,00:05:12.855,312.855,738,00:00:30.781,30.781,,,,,,,,,,,,,,,,,,,,,,,
9,7501,00:05:12.855,312.855,10677,00:07:25.320,445.32,3176,00:02:12.466,132.466,,,,,,,,,,,,,,,,,,,,,,,
10,10677,00:07:25.320,445.32,11923,00:08:17.289,497.289,1246,00:00:51.969,51.969,,,,,,,,,,,,,,,,,,,,,,,
11,11923,00:08:17.289,497.289,12260,00:08:31.345,511.345,337,00:00:14.056,14.056,,,,,,,,,,,,,,,,,,,,,,,
12,12260,00:08:31.345,511.345,13028,00:09:03.377,543.377,768,00:00:32.032,32.032,,,,,,,,,,,,,,,,,,,,,,,
13,13028,00:09:03.377,543.377,13779,00:09:34.700,574.7,751,00:00:31.323,31.323,,,,,,,,,,,,,,,,,,,,,,,
14,13779,00:09:34.700,574.7,14381,00:09:59.808,599.808,602,00:00:25.108,25.108,,,,,,,,,,,,,,,,,,,,,,,
15,14381,00:09:59.808,599.808,15087,00:10:29.254,629.254,706,00:00:29.446,29.446,,,,,,,,,,,,,,,,,,,,,,,
16,15087,00:10:29.254,629.254,15359,00:10:40.599,640.599,272,00:00:11.345,11.345,,,,,,,,,,,,,,,,,,,,,,,
17,15359,00:10:40.599,640.599,16039,00:11:08.961,668.961,680,00:00:28.362,28.362,,,,,,,,,,,,,,,,,,,,,,,
18,16039,00:11:08.961,668.961,18646,00:12:57.694,777.694,2607,00:01:48.734,108.734,,,,,,,,,,,,,,,,,,,,,,,
19,18670,00:12:58.695,778.695,21465,00:14:55.270,895.27,2795,00:01:56.575,116.575,,,,,,,,,,,,,,,,,,,,,,,
20,21465,00:14:55.270,895.27,31214,00:21:41.885,1301.885,9749,00:06:46.615,406.615,,,,,,,,,,,,,,,,,,,,,,,
21,31214,00:21:41.885,1301.885,33351,00:23:11.016,1391.016,2137,00:01:29.131,89.131,,,,,,,,,,,,,,,,,,,,,,,
22,33351,00:23:11.016,1391.016,34880,00:24:14.788,1454.788,1529,00:01:03.772,63.772,,,,,,,,,,,,,,,,,,,,,,,
23,34880,00:24:14.788,1454.788,36445,00:25:20.062,1520.062,1565,00:01:05.274,65.274,,,,,,,,,,,,,,,,,,,,,,,
