Timecode List:,00:00:00.500,00:00:10.533,00:00:39.400,00:01:19.533,00:01:31.900,00:01:35.700,00:02:02.967,00:02:12.667,00:02:24.633,00:02:32.633,00:02:42.667,00:02:55.200,00:03:38.033,00:05:38.300,00:07:59.500,00:07:59.733,00:09:45.400,00:10:35.733,00:12:10.600,00:12:11.467,00:16:45.633,00:17:10.867,00:19:23.100,00:19:57.167,00:21:00.333,00:23:05.467,00:23:52.300,00:23:52.600,00:25:23.333,00:25:23.600
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,
1,2871,00:01:35.700,95.7,3689,00:02:02.967,122.967,818,00:00:27.267,27.267,,,,,,,,,,,,,,,,,,,,,
2,3689,00:02:02.967,122.967,3980,00:02:12.667,132.667,291,00:00:09.700,9.7,,,,,,,,,,,,,,,,,,,,,
3,3980,00:02:12.667,132.667,4339,00:02:24.633,144.633,359,00:00:11.967,11.967,,,,,,,,,,,,,,,,,,,,,
4,4339,00:02:24.633,144.633,4579,00:02:32.633,152.633,240,00:00:08.000,8,,,,,,,,,,,,,,,,,,,,,
5,4579,00:02:32.633,152.633,4880,00:02:42.667,162.667,301,00:00:10.033,10.033,,,,,,,,,,,,,,,,,,,,,
6,4880,00:02:42.667,162.667,5256,00:02:55.200,175.2,376,00:00:12.533,12.533,,,,,,,,,,,,,,,,,,,,,
7,5256,00:02:55.200,175.2,6541,00:03:38.033,218.033,1285,00:00:42.833,42.833,,,,,,,,,,,,,,,,,,,,,
8,6541,00:03:38.033,218.033,10149,00:05:38.300,338.3,3608,00:02:00.267,120.267,,,,,,,,,,,,,,,,,,,,,
9,10149,00:05:38.300,338.3,14385,00:07:59.500,479.5,4236,00:02:21.200,141.2,,,,,,,,,,,,,,,,,,,,,
10,14392,00:07:59.733,479.733,17562,00:09:45.400,585.4,3170,00:01:45.667,105.667,,,,,,,,,,,,,,,,,,,,,
11,17562,00:09:45.400,585.4,19072,00:10:35.733,635.733,1510,00:00:50.333,50.333,,,,,,,,,,,,,,,,,,,,,
12,19072,00:10:35.733,635.733,21918,00:12:10.600,730.6,2846,00:01:34.867,94.867,,,,,,,,,,,,,,,,,,,,,
13,21944,00:12:11.467,731.467,30169,00:16:45.633,1005.633,8225,00:04:34.167,274.167,,,,,,,,,,,,,,,,,,,,,
14,30169,00:16:45.633,1005.633,30926,00:17:10.867,1030.867,757,00:00:25.233,25.233,,,,,,,,,,,,,,,,,,,,,
15,30926,00:17:10.867,1030.867,34893,00:19:23.100,1163.1,3967,00:02:12.233,132.233,,,,,,,,,,,,,,,,,,,,,
16,34893,00:19:23.100,1163.1,35915,00:19:57.167,1197.167,1022,00:00:34.067,34.067,,,,,,,,,,,,,,,,,,,,,
17,35915,00:19:57.167,1197.167,37810,00:21:00.333,1260.333,1895,00:01:03.167,63.167,,,,,,,,,,,,,,,,,,,,,
18,37810,00:21:00.333,1260.333,41564,00:23:05.467,1385.467,3754,00:02:05.133,125.133,,,,,,,,,,,,,,,,,,,,,
19,41564,00:23:05.467,1385.467,42969,00:23:52.300,1432.3,1405,00:00:46.833,46.833,,,,,,,,,,,,,,,,,,,,,
20,42978,00:23:52.600,1432.6,45700,00:25:23.333,1523.333,2722,00:01:30.733,90.733,,,,,,,,,,,,,,,,,,,,,
