Timecode List:,00:00:00.501,00:00:01.001,00:00:22.481,00:00:23.148,00:01:02.813,00:01:15.158,00:01:18.829,00:02:17.971,00:05:09.601,00:05:57.524,00:06:49.701,00:08:41.188,00:10:00.601,00:10:00.726,00:10:56.406,00:12:20.324,00:12:20.908,00:14:30.704,00:14:30.996,00:15:00.108,00:15:00.400,00:15:30.138,00:15:30.430,00:18:39.494,00:18:39.661,00:19:29.294,00:19:29.378,00:23:05.511,00:23:05.761,00:23:30.786,00:25:21.563,00:26:16.952,00:26:17.536
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,
1,1890,00:01:18.829,78.829,3308,00:02:17.971,137.971,1418,00:00:59.142,59.142,,,,,,,,,,,,,,,,,,,,,,,,
2,3308,00:02:17.971,137.971,7423,00:05:09.601,309.601,4115,00:02:51.630,171.63,,,,,,,,,,,,,,,,,,,,,,,,
3,7423,00:05:09.601,309.601,8572,00:05:57.524,357.524,1149,00:00:47.923,47.923,,,,,,,,,,,,,,,,,,,,,,,,
4,8572,00:05:57.524,357.524,9823,00:06:49.701,409.701,1251,00:00:52.177,52.177,,,,,,,,,,,,,,,,,,,,,,,,
5,9823,00:06:49.701,409.701,12496,00:08:41.188,521.188,2673,00:01:51.486,111.486,,,,,,,,,,,,,,,,,,,,,,,,
6,12496,00:08:41.188,521.188,14400,00:10:00.601,600.601,1904,00:01:19.413,79.413,,,,,,,,,,,,,,,,,,,,,,,,
7,14403,00:10:00.726,600.726,15738,00:10:56.406,656.406,1335,00:00:55.681,55.681,,,,,,,,,,,,,,,,,,,,,,,,
8,15738,00:10:56.406,656.406,17750,00:12:20.324,740.324,2012,00:01:23.917,83.917,,,,,,,,,,,,,,,,,,,,,,,,
9,17764,00:12:20.908,740.908,20876,00:14:30.704,870.704,3112,00:02:09.796,129.796,,,,,,,,,,,,,,,,,,,,,,,,
10,20883,00:14:30.996,870.996,21581,00:15:00.108,900.108,698,00:00:29.112,29.112,,,,,,,,,,,,,,,,,,,,,,,,
11,21588,00:15:00.400,900.4,22301,00:15:30.138,930.138,713,00:00:29.738,29.738,,,,,,,,,,,,,,,,,,,,,,,,
12,22308,00:15:30.430,930.43,26841,00:18:39.494,1119.494,4533,00:03:09.064,189.064,,,,,,,,,,,,,,,,,,,,,,,,
13,26845,00:18:39.661,1119.661,28035,00:19:29.294,1169.294,1190,00:00:49.633,49.633,,,,,,,,,,,,,,,,,,,,,,,,
14,28037,00:19:29.378,1169.378,33219,00:23:05.511,1385.511,5182,00:03:36.133,216.133,,,,,,,,,,,,,,,,,,,,,,,,
15,33225,00:23:05.761,1385.761,33825,00:23:30.786,1410.786,600,00:00:25.025,25.025,,,,,,,,,,,,,,,,,,,,,,,,
16,33825,00:23:30.786,1410.786,36481,00:25:21.563,1521.563,2656,00:01:50.777,110.777,,,,,,,,,,,,,,,,,,,,,,,,
