Timecode List:,00:00:00.534,00:00:01.068,00:00:42.209,00:00:43.577,00:01:22.716,00:01:35.062,00:01:38.632,00:06:31.358,00:06:31.491,00:08:59.072,00:09:00.040,00:09:15.789,00:10:08.809,00:10:21.722,00:10:37.538,00:10:48.582,00:11:24.751,00:13:34.314,00:13:34.648,00:13:58.405,00:13:58.705,00:14:32.940,00:14:43.817,00:15:31.331,00:15:31.532,00:15:58.392,00:16:12.072,00:17:02.222,00:17:02.890,00:20:42.242,00:24:35.609,00:24:35.809,00:25:24.057,00:25:24.558,00:26:19.513,00:26:20.280
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2956,00:01:38.632,98.632,11729,00:06:31.358,391.358,8773,00:04:52.726,292.726,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11733,00:06:31.491,391.491,16156,00:08:59.072,539.072,4423,00:02:27.581,147.581,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16185,00:09:00.040,540.04,16657,00:09:15.789,555.789,472,00:00:15.749,15.749,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16657,00:09:15.789,555.789,18246,00:10:08.809,608.809,1589,00:00:53.020,53.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18246,00:10:08.809,608.809,18633,00:10:21.722,621.722,387,00:00:12.913,12.913,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18633,00:10:21.722,621.722,19107,00:10:37.538,637.538,474,00:00:15.816,15.816,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19107,00:10:37.538,637.538,19438,00:10:48.582,648.582,331,00:00:11.044,11.044,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,19438,00:10:48.582,648.582,20522,00:11:24.751,684.751,1084,00:00:36.170,36.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20522,00:11:24.751,684.751,24405,00:13:34.314,814.314,3883,00:02:09.563,129.563,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24415,00:13:34.648,814.648,25127,00:13:58.405,838.405,712,00:00:23.757,23.757,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,25136,00:13:58.705,838.705,26162,00:14:32.940,872.94,1026,00:00:34.234,34.234,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26162,00:14:32.940,872.94,26488,00:14:43.817,883.817,326,00:00:10.878,10.878,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26488,00:14:43.817,883.817,27912,00:15:31.331,931.331,1424,00:00:47.514,47.514,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,27918,00:15:31.532,931.532,28723,00:15:58.392,958.392,805,00:00:26.860,26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,28723,00:15:58.392,958.392,29133,00:16:12.072,972.072,410,00:00:13.680,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,29133,00:16:12.072,972.072,30636,00:17:02.222,1022.222,1503,00:00:50.150,50.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,30656,00:17:02.890,1022.89,37230,00:20:42.242,1242.242,6574,00:03:39.353,219.353,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,37230,00:20:42.242,1242.242,44224,00:24:35.609,1475.609,6994,00:03:53.367,233.367,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,44230,00:24:35.809,1475.809,45676,00:25:24.057,1524.057,1446,00:00:48.248,48.248,,,,,,,,,,,,,,,,,,,,,,,,,,,
