Timecode List:,00:00:00.042,00:00:14.348,00:00:55.222,00:00:55.848,00:01:37.431,00:01:50.319,00:01:54.239,00:04:33.857,00:04:34.066,00:07:05.551,00:09:00.541,00:09:00.707,00:11:47.374,00:12:33.754,00:13:49.746,00:14:54.269,00:15:15.916,00:15:16.375,00:17:03.565,00:17:38.392,00:17:51.321,00:18:23.770,00:18:24.605,00:18:49.129,00:18:49.505,00:19:03.268,00:19:52.276,00:20:12.921,00:21:01.929,00:21:02.012,00:21:37.381,00:22:09.788,00:24:04.236,00:24:17.708,00:24:45.569,00:24:51.700,00:25:26.652,00:26:07.568,00:26:08.485,00:27:06.543,00:27:07.211
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2739,00:01:54.239,114.239,6566,00:04:33.857,273.857,3827,00:02:39.618,159.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6571,00:04:34.066,274.066,10203,00:07:05.551,425.551,3632,00:02:31.485,151.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10203,00:07:05.551,425.551,12960,00:09:00.541,540.541,2757,00:01:54.990,114.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12964,00:09:00.707,540.707,16960,00:11:47.374,707.374,3996,00:02:46.667,166.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16960,00:11:47.374,707.374,18072,00:12:33.754,753.754,1112,00:00:46.380,46.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18072,00:12:33.754,753.754,19894,00:13:49.746,829.746,1822,00:01:15.993,75.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,19894,00:13:49.746,829.746,21441,00:14:54.269,894.269,1547,00:01:04.523,64.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,21441,00:14:54.269,894.269,21960,00:15:15.916,915.916,519,00:00:21.647,21.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21971,00:15:16.375,916.375,24541,00:17:03.565,1023.565,2570,00:01:47.191,107.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24541,00:17:03.565,1023.565,25376,00:17:38.392,1058.392,835,00:00:34.826,34.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,25376,00:17:38.392,1058.392,25686,00:17:51.321,1071.321,310,00:00:12.930,12.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25686,00:17:51.321,1071.321,26464,00:18:23.770,1103.77,778,00:00:32.449,32.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,26484,00:18:24.605,1104.605,27072,00:18:49.129,1129.129,588,00:00:24.525,24.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,27081,00:18:49.505,1129.505,27411,00:19:03.268,1143.268,330,00:00:13.764,13.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,27411,00:19:03.268,1143.268,28586,00:19:52.276,1192.276,1175,00:00:49.007,49.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,28586,00:19:52.276,1192.276,29081,00:20:12.921,1212.921,495,00:00:20.646,20.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,29081,00:20:12.921,1212.921,30256,00:21:01.929,1261.929,1175,00:00:49.007,49.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,30258,00:21:02.012,1262.012,31106,00:21:37.381,1297.381,848,00:00:35.369,35.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,31106,00:21:37.381,1297.381,31883,00:22:09.788,1329.788,777,00:00:32.407,32.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,31883,00:22:09.788,1329.788,34627,00:24:04.236,1444.236,2744,00:01:54.448,114.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,34627,00:24:04.236,1444.236,34950,00:24:17.708,1457.708,323,00:00:13.472,13.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,34950,00:24:17.708,1457.708,35618,00:24:45.569,1485.569,668,00:00:27.861,27.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,35618,00:24:45.569,1485.569,35765,00:24:51.700,1491.7,147,00:00:06.131,6.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,35765,00:24:51.700,1491.7,36603,00:25:26.652,1526.652,838,00:00:34.952,34.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,36603,00:25:26.652,1526.652,37584,00:26:07.568,1567.568,981,00:00:40.916,40.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
