Timecode List:,00:00:00.567,00:00:29.863,00:00:30.697,00:00:55.088,00:01:03.197,00:01:22.216,00:01:26.153,00:04:57.464,00:05:50.317,00:05:50.350,00:06:41.235,00:09:51.158,00:12:00.153,00:12:11.498,00:12:28.282,00:12:50.804,00:12:58.812,00:13:08.021,00:13:09.056,00:13:44.558,00:15:45.479,00:15:54.054,00:16:41.568,00:16:41.635,00:16:56.884,00:17:07.227,00:17:17.638,00:19:00.874,00:19:01.241,00:19:51.558,00:22:30.851,00:22:46.200,00:22:47.334,00:25:09.209,00:25:24.458,00:25:24.892,00:26:19.947,00:26:20.581
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2582,00:01:26.153,86.153,8915,00:04:57.464,297.464,6333,00:03:31.311,211.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8915,00:04:57.464,297.464,10499,00:05:50.317,350.317,1584,00:00:52.853,52.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10500,00:05:50.350,350.35,12025,00:06:41.235,401.235,1525,00:00:50.884,50.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12025,00:06:41.235,401.235,17717,00:09:51.158,591.158,5692,00:03:09.923,189.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17717,00:09:51.158,591.158,21583,00:12:00.153,720.153,3866,00:02:08.996,128.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,21583,00:12:00.153,720.153,21923,00:12:11.498,731.498,340,00:00:11.345,11.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,21923,00:12:11.498,731.498,22426,00:12:28.282,748.282,503,00:00:16.783,16.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,22426,00:12:28.282,748.282,23101,00:12:50.804,770.804,675,00:00:22.523,22.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,23101,00:12:50.804,770.804,23341,00:12:58.812,778.812,240,00:00:08.008,8.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23341,00:12:58.812,778.812,23617,00:13:08.021,788.021,276,00:00:09.209,9.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,23648,00:13:09.056,789.056,24712,00:13:44.558,824.558,1064,00:00:35.502,35.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,24712,00:13:44.558,824.558,28336,00:15:45.479,945.479,3624,00:02:00.921,120.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,28336,00:15:45.479,945.479,28593,00:15:54.054,954.054,257,00:00:08.575,8.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28593,00:15:54.054,954.054,30017,00:16:41.568,1001.568,1424,00:00:47.514,47.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30019,00:16:41.635,1001.635,30476,00:16:56.884,1016.884,457,00:00:15.249,15.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,30476,00:16:56.884,1016.884,30786,00:17:07.227,1027.227,310,00:00:10.344,10.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,30786,00:17:07.227,1027.227,31098,00:17:17.638,1037.638,312,00:00:10.410,10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,31098,00:17:17.638,1037.638,34192,00:19:00.874,1140.874,3094,00:01:43.237,103.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,34203,00:19:01.241,1141.241,35711,00:19:51.558,1191.558,1508,00:00:50.317,50.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,35711,00:19:51.558,1191.558,40485,00:22:30.851,1350.851,4774,00:02:39.293,159.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,40485,00:22:30.851,1350.851,40945,00:22:46.200,1366.2,460,00:00:15.349,15.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,40979,00:22:47.334,1367.334,45231,00:25:09.209,1509.209,4252,00:02:21.875,141.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,45231,00:25:09.209,1509.209,45688,00:25:24.458,1524.458,457,00:00:15.249,15.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
