Timecode List:,00:00:00.542,00:00:31.990,00:00:32.616,00:01:11.697,00:01:24.042,00:01:27.880,00:02:02.289,00:02:02.414,00:02:52.673,00:06:28.096,00:06:28.222,00:08:28.091,00:09:19.768,00:09:53.719,00:13:44.283,00:14:20.027,00:14:54.645,00:15:43.402,00:16:54.097,00:19:40.097,00:20:29.479,00:22:27.264,00:22:27.431,00:25:03.545,00:25:21.730,00:26:17.077,00:26:17.661
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,
1,2107,00:01:27.880,87.88,2932,00:02:02.289,122.289,825,00:00:34.409,34.409,,,,,,,,,,,,,,,,,,
2,2935,00:02:02.414,122.414,4140,00:02:52.673,172.673,1205,00:00:50.259,50.259,,,,,,,,,,,,,,,,,,
3,4140,00:02:52.673,172.673,9305,00:06:28.096,388.096,5165,00:03:35.424,215.424,,,,,,,,,,,,,,,,,,
4,9308,00:06:28.222,388.222,12182,00:08:28.091,508.091,2874,00:01:59.870,119.87,,,,,,,,,,,,,,,,,,
5,12182,00:08:28.091,508.091,13421,00:09:19.768,559.768,1239,00:00:51.677,51.677,,,,,,,,,,,,,,,,,,
6,13421,00:09:19.768,559.768,14235,00:09:53.719,593.719,814,00:00:33.951,33.951,,,,,,,,,,,,,,,,,,
7,14235,00:09:53.719,593.719,19763,00:13:44.283,824.283,5528,00:03:50.564,230.564,,,,,,,,,,,,,,,,,,
8,19763,00:13:44.283,824.283,20620,00:14:20.027,860.027,857,00:00:35.744,35.744,,,,,,,,,,,,,,,,,,
9,20620,00:14:20.027,860.027,21450,00:14:54.645,894.645,830,00:00:34.618,34.618,,,,,,,,,,,,,,,,,,
10,21450,00:14:54.645,894.645,22619,00:15:43.402,943.402,1169,00:00:48.757,48.757,,,,,,,,,,,,,,,,,,
11,22619,00:15:43.402,943.402,24314,00:16:54.097,1014.097,1695,00:01:10.696,70.696,,,,,,,,,,,,,,,,,,
12,24314,00:16:54.097,1014.097,28294,00:19:40.097,1180.097,3980,00:02:45.999,165.999,,,,,,,,,,,,,,,,,,
13,28294,00:19:40.097,1180.097,29478,00:20:29.479,1229.479,1184,00:00:49.383,49.383,,,,,,,,,,,,,,,,,,
14,29478,00:20:29.479,1229.479,32302,00:22:27.264,1347.264,2824,00:01:57.784,117.784,,,,,,,,,,,,,,,,,,
15,32306,00:22:27.431,1347.431,36049,00:25:03.545,1503.545,3743,00:02:36.114,156.114,,,,,,,,,,,,,,,,,,
16,36049,00:25:03.545,1503.545,36485,00:25:21.730,1521.73,436,00:00:18.185,18.185,,,,,,,,,,,,,,,,,,
