Timecode List:,00:00:00.000,00:00:09.384,00:00:22.898,00:00:23.774,00:01:17.369,00:01:21.123,00:01:32.176,00:03:23.370,00:04:54.294,00:04:54.503,00:07:49.469,00:08:09.239,00:09:14.054,00:09:14.513,00:09:30.821,00:10:01.226,00:10:35.385,00:14:53.393,00:15:02.569,00:15:21.547,00:16:50.719,00:17:15.410,00:17:15.494,00:18:32.404,00:19:11.777,00:19:28.627,00:19:52.234,00:23:32.496,00:23:55.060,00:24:55.746,00:26:08.777,00:26:09.653,00:27:06.835,00:27:07.503
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,
1,1945,00:01:21.123,81.123,2210,00:01:32.176,92.176,265,00:00:11.053,11.053,,,,,,,,,,,,,,,,,,,,,,,,,
2,2210,00:01:32.176,92.176,4876,00:03:23.370,203.37,2666,00:01:51.195,111.195,,,,,,,,,,,,,,,,,,,,,,,,,
3,4876,00:03:23.370,203.37,7056,00:04:54.294,294.294,2180,00:01:30.924,90.924,,,,,,,,,,,,,,,,,,,,,,,,,
4,7061,00:04:54.503,294.503,11256,00:07:49.469,469.469,4195,00:02:54.967,174.967,,,,,,,,,,,,,,,,,,,,,,,,,
5,11256,00:07:49.469,469.469,11730,00:08:09.239,489.239,474,00:00:19.770,19.77,,,,,,,,,,,,,,,,,,,,,,,,,
6,11730,00:08:09.239,489.239,13284,00:09:14.054,554.054,1554,00:01:04.815,64.815,,,,,,,,,,,,,,,,,,,,,,,,,
7,13295,00:09:14.513,554.513,13686,00:09:30.821,570.821,391,00:00:16.308,16.308,,,,,,,,,,,,,,,,,,,,,,,,,
8,13686,00:09:30.821,570.821,14415,00:10:01.226,601.226,729,00:00:30.405,30.405,,,,,,,,,,,,,,,,,,,,,,,,,
9,14415,00:10:01.226,601.226,15234,00:10:35.385,635.385,819,00:00:34.159,34.159,,,,,,,,,,,,,,,,,,,,,,,,,
10,15234,00:10:35.385,635.385,21420,00:14:53.393,893.393,6186,00:04:18.008,258.008,,,,,,,,,,,,,,,,,,,,,,,,,
11,21420,00:14:53.393,893.393,21640,00:15:02.569,902.569,220,00:00:09.176,9.176,,,,,,,,,,,,,,,,,,,,,,,,,
12,21640,00:15:02.569,902.569,22095,00:15:21.547,921.547,455,00:00:18.977,18.977,,,,,,,,,,,,,,,,,,,,,,,,,
13,22095,00:15:21.547,921.547,24233,00:16:50.719,1010.719,2138,00:01:29.173,89.173,,,,,,,,,,,,,,,,,,,,,,,,,
14,24233,00:16:50.719,1010.719,24825,00:17:15.410,1035.41,592,00:00:24.691,24.691,,,,,,,,,,,,,,,,,,,,,,,,,
15,24827,00:17:15.494,1035.494,26671,00:18:32.404,1112.404,1844,00:01:16.910,76.91,,,,,,,,,,,,,,,,,,,,,,,,,
16,26671,00:18:32.404,1112.404,27615,00:19:11.777,1151.777,944,00:00:39.373,39.373,,,,,,,,,,,,,,,,,,,,,,,,,
17,27615,00:19:11.777,1151.777,28019,00:19:28.627,1168.627,404,00:00:16.850,16.85,,,,,,,,,,,,,,,,,,,,,,,,,
18,28019,00:19:28.627,1168.627,28585,00:19:52.234,1192.234,566,00:00:23.607,23.607,,,,,,,,,,,,,,,,,,,,,,,,,
19,28585,00:19:52.234,1192.234,33866,00:23:32.496,1412.496,5281,00:03:40.262,220.262,,,,,,,,,,,,,,,,,,,,,,,,,
20,33866,00:23:32.496,1412.496,34407,00:23:55.060,1435.06,541,00:00:22.564,22.564,,,,,,,,,,,,,,,,,,,,,,,,,
21,34407,00:23:55.060,1435.06,35862,00:24:55.746,1495.746,1455,00:01:00.686,60.686,,,,,,,,,,,,,,,,,,,,,,,,,
22,35862,00:24:55.746,1495.746,37613,00:26:08.777,1568.777,1751,00:01:13.031,73.031,,,,,,,,,,,,,,,,,,,,,,,,,
