Timecode List:,00:00:37.746,00:00:49.424,00:00:49.883,00:01:28.964,00:01:41.310,00:01:45.147,00:02:42.538,00:03:40.262,00:03:40.304,00:05:11.436,00:05:27.035,00:05:44.386,00:05:58.400,00:09:05.921,00:09:06.004,00:09:21.562,00:10:55.906,00:11:08.752,00:11:46.081,00:13:00.489,00:13:34.439,00:13:34.523,00:13:50.455,00:14:45.886,00:14:46.011,00:14:57.648,00:16:46.715,00:19:19.034,00:19:36.343,00:19:46.478,00:20:04.913,00:20:15.299,00:20:29.188,00:21:41.260,00:21:51.645,00:22:05.367,00:22:26.221,00:23:35.374,00:24:31.471,00:25:04.463,00:25:18.852,00:25:19.353,00:26:14.032,00:26:14.741
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2521,00:01:45.147,105.147,3897,00:02:42.538,162.538,1376,00:00:57.391,57.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3897,00:02:42.538,162.538,5281,00:03:40.262,220.262,1384,00:00:57.724,57.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5282,00:03:40.304,220.304,7467,00:05:11.436,311.436,2185,00:01:31.133,91.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7467,00:05:11.436,311.436,7841,00:05:27.035,327.035,374,00:00:15.599,15.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7841,00:05:27.035,327.035,8257,00:05:44.386,344.386,416,00:00:17.351,17.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8257,00:05:44.386,344.386,8593,00:05:58.400,358.4,336,00:00:14.014,14.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8593,00:05:58.400,358.4,13089,00:09:05.921,545.921,4496,00:03:07.521,187.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13091,00:09:06.004,546.004,13464,00:09:21.562,561.562,373,00:00:15.557,15.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13464,00:09:21.562,561.562,15726,00:10:55.906,655.906,2262,00:01:34.344,94.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15726,00:10:55.906,655.906,16034,00:11:08.752,668.752,308,00:00:12.846,12.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,16034,00:11:08.752,668.752,16929,00:11:46.081,706.081,895,00:00:37.329,37.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,16929,00:11:46.081,706.081,18713,00:13:00.489,780.489,1784,00:01:14.408,74.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18713,00:13:00.489,780.489,19527,00:13:34.439,814.439,814,00:00:33.951,33.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,19529,00:13:34.523,814.523,19911,00:13:50.455,830.455,382,00:00:15.933,15.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19911,00:13:50.455,830.455,21240,00:14:45.886,885.886,1329,00:00:55.430,55.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21243,00:14:46.011,886.011,21522,00:14:57.648,897.648,279,00:00:11.637,11.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,21522,00:14:57.648,897.648,24137,00:16:46.715,1006.715,2615,00:01:49.067,109.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,24137,00:16:46.715,1006.715,27789,00:19:19.034,1159.034,3652,00:02:32.319,152.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,27789,00:19:19.034,1159.034,28204,00:19:36.343,1176.343,415,00:00:17.309,17.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,28204,00:19:36.343,1176.343,28447,00:19:46.478,1186.478,243,00:00:10.135,10.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,28447,00:19:46.478,1186.478,28889,00:20:04.913,1204.913,442,00:00:18.435,18.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,28889,00:20:04.913,1204.913,29138,00:20:15.299,1215.299,249,00:00:10.385,10.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,29138,00:20:15.299,1215.299,29471,00:20:29.188,1229.188,333,00:00:13.889,13.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,29471,00:20:29.188,1229.188,31199,00:21:41.260,1301.26,1728,00:01:12.072,72.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,31199,00:21:41.260,1301.26,31448,00:21:51.645,1311.645,249,00:00:10.385,10.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,31448,00:21:51.645,1311.645,31777,00:22:05.367,1325.367,329,00:00:13.722,13.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,31777,00:22:05.367,1325.367,32277,00:22:26.221,1346.221,500,00:00:20.854,20.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
