Timecode List:,00:00:54.805,00:01:09.570,00:01:21.915,00:07:06.885,00:07:25.571,00:07:38.417,00:07:54.308,00:08:07.112,00:08:36.642,00:08:54.284,00:09:06.505,00:09:45.711,00:09:57.514,00:10:10.152,00:10:27.836,00:10:55.280,00:11:11.922,00:11:30.607,00:11:41.577,00:12:41.762,00:13:23.846,00:16:29.781,00:16:53.096,00:17:03.857,00:17:19.289,00:17:30.926,00:17:45.941,00:18:11.133,00:18:21.643,00:18:45.000,00:21:38.674,00:22:43.280,00:23:48.929,00:25:12.346,00:26:19.454
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,
1,1964,00:01:21.915,81.915,10235,00:07:06.885,426.885,8271,00:05:44.970,344.97,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10235,00:07:06.885,426.885,10683,00:07:25.571,445.571,448,00:00:18.685,18.685,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10683,00:07:25.571,445.571,10991,00:07:38.417,458.417,308,00:00:12.846,12.846,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10991,00:07:38.417,458.417,11372,00:07:54.308,474.308,381,00:00:15.891,15.891,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11372,00:07:54.308,474.308,11679,00:08:07.112,487.112,307,00:00:12.804,12.804,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11679,00:08:07.112,487.112,12387,00:08:36.642,516.642,708,00:00:29.530,29.53,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12387,00:08:36.642,516.642,12810,00:08:54.284,534.284,423,00:00:17.643,17.643,,,,,,,,,,,,,,,,,,,,,,,,,,
8,12810,00:08:54.284,534.284,13103,00:09:06.505,546.505,293,00:00:12.221,12.221,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13103,00:09:06.505,546.505,14043,00:09:45.711,585.711,940,00:00:39.206,39.206,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14043,00:09:45.711,585.711,14326,00:09:57.514,597.514,283,00:00:11.803,11.803,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14326,00:09:57.514,597.514,14629,00:10:10.152,610.152,303,00:00:12.638,12.638,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14629,00:10:10.152,610.152,15053,00:10:27.836,627.836,424,00:00:17.684,17.684,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15053,00:10:27.836,627.836,15711,00:10:55.280,655.28,658,00:00:27.444,27.444,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15711,00:10:55.280,655.28,16110,00:11:11.922,671.922,399,00:00:16.642,16.642,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16110,00:11:11.922,671.922,16558,00:11:30.607,690.607,448,00:00:18.685,18.685,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16558,00:11:30.607,690.607,16821,00:11:41.577,701.577,263,00:00:10.969,10.969,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16821,00:11:41.577,701.577,18264,00:12:41.762,761.762,1443,00:01:00.185,60.185,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18264,00:12:41.762,761.762,19273,00:13:23.846,803.846,1009,00:00:42.084,42.084,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19273,00:13:23.846,803.846,23731,00:16:29.781,989.781,4458,00:03:05.936,185.936,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23731,00:16:29.781,989.781,24290,00:16:53.096,1013.096,559,00:00:23.315,23.315,,,,,,,,,,,,,,,,,,,,,,,,,,
21,24290,00:16:53.096,1013.096,24548,00:17:03.857,1023.857,258,00:00:10.761,10.761,,,,,,,,,,,,,,,,,,,,,,,,,,
22,24548,00:17:03.857,1023.857,24918,00:17:19.289,1039.289,370,00:00:15.432,15.432,,,,,,,,,,,,,,,,,,,,,,,,,,
23,24918,00:17:19.289,1039.289,25197,00:17:30.926,1050.926,279,00:00:11.637,11.637,,,,,,,,,,,,,,,,,,,,,,,,,,
24,25197,00:17:30.926,1050.926,25557,00:17:45.941,1065.941,360,00:00:15.015,15.015,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25557,00:17:45.941,1065.941,26161,00:18:11.133,1091.133,604,00:00:25.192,25.192,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26161,00:18:11.133,1091.133,26413,00:18:21.643,1101.643,252,00:00:10.511,10.511,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26413,00:18:21.643,1101.643,26973,00:18:45.000,1125,560,00:00:23.357,23.357,,,,,,,,,,,,,,,,,,,,,,,,,,
28,26973,00:18:45.000,1125,31137,00:21:38.674,1298.674,4164,00:02:53.674,173.674,,,,,,,,,,,,,,,,,,,,,,,,,,
29,31137,00:21:38.674,1298.674,32686,00:22:43.280,1363.28,1549,00:01:04.606,64.606,,,,,,,,,,,,,,,,,,,,,,,,,,
30,32686,00:22:43.280,1363.28,34260,00:23:48.929,1428.929,1574,00:01:05.649,65.649,,,,,,,,,,,,,,,,,,,,,,,,,,
31,34260,00:23:48.929,1428.929,36260,00:25:12.346,1512.346,2000,00:01:23.417,83.417,,,,,,,,,,,,,,,,,,,,,,,,,,
32,36260,00:25:12.346,1512.346,37869,00:26:19.454,1579.454,1609,00:01:07.109,67.109,,,,,,,,,,,,,,,,,,,,,,,,,,
33,37869,00:26:19.454,1579.454,38015,00:26:25.544,1585.544,146,00:00:06.089,6.089,,,,,,,,,,,,,,,,,,,,,,,,,,
