Timecode List:,00:00:36.370,00:00:37.162,00:01:16.243,00:01:28.589,00:01:33.218,00:01:52.738,00:02:23.352,00:04:20.761,00:04:20.886,00:05:41.675,00:08:09.156,00:09:33.532,00:09:33.824,00:09:48.797,00:12:19.781,00:12:20.407,00:14:02.968,00:14:03.260,00:16:27.529,00:16:27.654,00:17:10.155,00:17:10.948,00:17:26.088,00:20:29.313,00:21:07.226,00:21:50.519,00:21:50.602,00:22:21.216,00:25:20.854,00:25:21.438,00:26:16.743,00:26:17.327
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,
1,2235,00:01:33.218,93.218,2703,00:01:52.738,112.738,468,00:00:19.520,19.52,,,,,,,,,,,,,,,,,,,,,,,
2,2703,00:01:52.738,112.738,3437,00:02:23.352,143.352,734,00:00:30.614,30.614,,,,,,,,,,,,,,,,,,,,,,,
3,3437,00:02:23.352,143.352,6252,00:04:20.761,260.761,2815,00:01:57.409,117.409,,,,,,,,,,,,,,,,,,,,,,,
4,6255,00:04:20.886,260.886,8192,00:05:41.675,341.675,1937,00:01:20.789,80.789,,,,,,,,,,,,,,,,,,,,,,,
5,8192,00:05:41.675,341.675,11728,00:08:09.156,489.156,3536,00:02:27.481,147.481,,,,,,,,,,,,,,,,,,,,,,,
6,11728,00:08:09.156,489.156,13751,00:09:33.532,573.532,2023,00:01:24.376,84.376,,,,,,,,,,,,,,,,,,,,,,,
7,13758,00:09:33.824,573.824,14117,00:09:48.797,588.797,359,00:00:14.973,14.973,,,,,,,,,,,,,,,,,,,,,,,
8,14117,00:09:48.797,588.797,17737,00:12:19.781,739.781,3620,00:02:30.984,150.984,,,,,,,,,,,,,,,,,,,,,,,
9,17752,00:12:20.407,740.407,20211,00:14:02.968,842.968,2459,00:01:42.561,102.561,,,,,,,,,,,,,,,,,,,,,,,
10,20218,00:14:03.260,843.26,23677,00:16:27.529,987.529,3459,00:02:24.269,144.269,,,,,,,,,,,,,,,,,,,,,,,
11,23680,00:16:27.654,987.654,24699,00:17:10.155,1030.155,1019,00:00:42.501,42.501,,,,,,,,,,,,,,,,,,,,,,,
12,24718,00:17:10.948,1030.948,25081,00:17:26.088,1046.088,363,00:00:15.140,15.14,,,,,,,,,,,,,,,,,,,,,,,
13,25081,00:17:26.088,1046.088,29474,00:20:29.313,1229.313,4393,00:03:03.225,183.225,,,,,,,,,,,,,,,,,,,,,,,
14,29474,00:20:29.313,1229.313,30383,00:21:07.226,1267.226,909,00:00:37.913,37.913,,,,,,,,,,,,,,,,,,,,,,,
15,30383,00:21:07.226,1267.226,31421,00:21:50.519,1310.519,1038,00:00:43.293,43.293,,,,,,,,,,,,,,,,,,,,,,,
16,31423,00:21:50.602,1310.602,32157,00:22:21.216,1341.216,734,00:00:30.614,30.614,,,,,,,,,,,,,,,,,,,,,,,
17,32157,00:22:21.216,1341.216,36464,00:25:20.854,1520.854,4307,00:02:59.638,179.638,,,,,,,,,,,,,,,,,,,,,,,
