Timecode List:,00:00:40.207,00:01:05.899,00:01:20.706,00:01:33.051,00:01:36.805,00:03:17.573,00:03:28.667,00:04:27.726,00:05:40.007,00:05:56.940,00:06:12.706,00:06:27.888,00:08:15.746,00:08:59.248,00:09:00.165,00:09:44.418,00:10:23.707,00:10:36.428,00:10:52.361,00:11:12.130,00:11:55.174,00:12:08.395,00:13:31.270,00:14:32.581,00:16:24.026,00:21:03.889,00:21:14.650,00:22:25.387,00:23:10.015,00:23:28.367,00:23:40.462,00:23:50.931,00:25:15.265,00:26:10.988,00:26:11.613
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,
1,2321,00:01:36.805,96.805,4737,00:03:17.573,197.573,2416,00:01:40.767,100.767,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4737,00:03:17.573,197.573,5003,00:03:28.667,208.667,266,00:00:11.094,11.094,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5003,00:03:28.667,208.667,6419,00:04:27.726,267.726,1416,00:00:59.059,59.059,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6419,00:04:27.726,267.726,8152,00:05:40.007,340.007,1733,00:01:12.281,72.281,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8152,00:05:40.007,340.007,8558,00:05:56.940,356.94,406,00:00:16.934,16.934,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8558,00:05:56.940,356.94,8936,00:06:12.706,372.706,378,00:00:15.766,15.766,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8936,00:06:12.706,372.706,9300,00:06:27.888,387.888,364,00:00:15.182,15.182,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9300,00:06:27.888,387.888,11886,00:08:15.746,495.746,2586,00:01:47.858,107.858,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11886,00:08:15.746,495.746,12929,00:08:59.248,539.248,1043,00:00:43.502,43.502,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12951,00:09:00.165,540.165,14012,00:09:44.418,584.418,1061,00:00:44.253,44.253,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14012,00:09:44.418,584.418,14954,00:10:23.707,623.707,942,00:00:39.289,39.289,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14954,00:10:23.707,623.707,15259,00:10:36.428,636.428,305,00:00:12.721,12.721,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15259,00:10:36.428,636.428,15641,00:10:52.361,652.361,382,00:00:15.933,15.933,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15641,00:10:52.361,652.361,16115,00:11:12.130,672.13,474,00:00:19.770,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16115,00:11:12.130,672.13,17147,00:11:55.174,715.174,1032,00:00:43.043,43.043,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17147,00:11:55.174,715.174,17464,00:12:08.395,728.395,317,00:00:13.222,13.222,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17464,00:12:08.395,728.395,19451,00:13:31.270,811.27,1987,00:01:22.875,82.875,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19451,00:13:31.270,811.27,20921,00:14:32.581,872.581,1470,00:01:01.311,61.311,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20921,00:14:32.581,872.581,23593,00:16:24.026,984.026,2672,00:01:51.445,111.445,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23593,00:16:24.026,984.026,30303,00:21:03.889,1263.889,6710,00:04:39.863,279.863,,,,,,,,,,,,,,,,,,,,,,,,,,
21,30303,00:21:03.889,1263.889,30561,00:21:14.650,1274.65,258,00:00:10.761,10.761,,,,,,,,,,,,,,,,,,,,,,,,,,
22,30561,00:21:14.650,1274.65,32257,00:22:25.387,1345.387,1696,00:01:10.737,70.737,,,,,,,,,,,,,,,,,,,,,,,,,,
23,32257,00:22:25.387,1345.387,33327,00:23:10.015,1390.015,1070,00:00:44.628,44.628,,,,,,,,,,,,,,,,,,,,,,,,,,
24,33327,00:23:10.015,1390.015,33767,00:23:28.367,1408.367,440,00:00:18.352,18.352,,,,,,,,,,,,,,,,,,,,,,,,,,
25,33767,00:23:28.367,1408.367,34057,00:23:40.462,1420.462,290,00:00:12.095,12.095,,,,,,,,,,,,,,,,,,,,,,,,,,
26,34057,00:23:40.462,1420.462,34308,00:23:50.931,1430.931,251,00:00:10.469,10.469,,,,,,,,,,,,,,,,,,,,,,,,,,
27,34308,00:23:50.931,1430.931,36330,00:25:15.265,1515.265,2022,00:01:24.334,84.334,,,,,,,,,,,,,,,,,,,,,,,,,,
