Timecode List:,00:00:17.935,00:00:33.408,00:00:51.552,00:01:03.063,00:01:15.409,00:03:23.787,00:06:10.037,00:07:52.347,00:08:28.050,00:08:49.905,00:09:07.214,00:09:48.755,00:11:00.202,00:12:31.835,00:12:46.725,00:13:04.743,00:13:14.878,00:16:39.208,00:16:53.180,00:17:04.233,00:18:04.042,00:19:56.405,00:20:09.751,00:20:20.095,00:20:36.403,00:21:48.517,00:21:59.570,00:22:10.831,00:22:21.592,00:22:34.605,00:22:47.701,00:24:25.048,00:24:44.484,00:26:17.828
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,
1,1808,00:01:15.409,75.409,4886,00:03:23.787,203.787,3078,00:02:08.378,128.378,,,,,,,,,,,,,,,,,,,,,,,,,
2,4886,00:03:23.787,203.787,8872,00:06:10.037,370.037,3986,00:02:46.250,166.25,,,,,,,,,,,,,,,,,,,,,,,,,
3,8872,00:06:10.037,370.037,11325,00:07:52.347,472.347,2453,00:01:42.311,102.311,,,,,,,,,,,,,,,,,,,,,,,,,
4,11325,00:07:52.347,472.347,12181,00:08:28.050,508.05,856,00:00:35.702,35.702,,,,,,,,,,,,,,,,,,,,,,,,,
5,12181,00:08:28.050,508.05,12705,00:08:49.905,529.905,524,00:00:21.855,21.855,,,,,,,,,,,,,,,,,,,,,,,,,
6,12705,00:08:49.905,529.905,13120,00:09:07.214,547.214,415,00:00:17.309,17.309,,,,,,,,,,,,,,,,,,,,,,,,,
7,13120,00:09:07.214,547.214,14116,00:09:48.755,588.755,996,00:00:41.542,41.542,,,,,,,,,,,,,,,,,,,,,,,,,
8,14116,00:09:48.755,588.755,15829,00:11:00.202,660.202,1713,00:01:11.446,71.446,,,,,,,,,,,,,,,,,,,,,,,,,
9,15829,00:11:00.202,660.202,18026,00:12:31.835,751.835,2197,00:01:31.633,91.633,,,,,,,,,,,,,,,,,,,,,,,,,
10,18026,00:12:31.835,751.835,18383,00:12:46.725,766.725,357,00:00:14.890,14.89,,,,,,,,,,,,,,,,,,,,,,,,,
11,18383,00:12:46.725,766.725,18815,00:13:04.743,784.743,432,00:00:18.018,18.018,,,,,,,,,,,,,,,,,,,,,,,,,
12,18815,00:13:04.743,784.743,19058,00:13:14.878,794.878,243,00:00:10.135,10.135,,,,,,,,,,,,,,,,,,,,,,,,,
13,19058,00:13:14.878,794.878,23957,00:16:39.208,999.208,4899,00:03:24.329,204.329,,,,,,,,,,,,,,,,,,,,,,,,,
14,23957,00:16:39.208,999.208,24292,00:16:53.180,1013.18,335,00:00:13.972,13.972,,,,,,,,,,,,,,,,,,,,,,,,,
15,24292,00:16:53.180,1013.18,24557,00:17:04.233,1024.233,265,00:00:11.053,11.053,,,,,,,,,,,,,,,,,,,,,,,,,
16,24557,00:17:04.233,1024.233,25991,00:18:04.042,1084.042,1434,00:00:59.810,59.81,,,,,,,,,,,,,,,,,,,,,,,,,
17,25991,00:18:04.042,1084.042,28685,00:19:56.405,1196.405,2694,00:01:52.362,112.362,,,,,,,,,,,,,,,,,,,,,,,,,
18,28685,00:19:56.405,1196.405,29005,00:20:09.751,1209.751,320,00:00:13.347,13.347,,,,,,,,,,,,,,,,,,,,,,,,,
19,29005,00:20:09.751,1209.751,29253,00:20:20.095,1220.095,248,00:00:10.344,10.344,,,,,,,,,,,,,,,,,,,,,,,,,
20,29253,00:20:20.095,1220.095,29644,00:20:36.403,1236.403,391,00:00:16.308,16.308,,,,,,,,,,,,,,,,,,,,,,,,,
21,29644,00:20:36.403,1236.403,31373,00:21:48.517,1308.517,1729,00:01:12.114,72.114,,,,,,,,,,,,,,,,,,,,,,,,,
22,31373,00:21:48.517,1308.517,31638,00:21:59.570,1319.57,265,00:00:11.053,11.053,,,,,,,,,,,,,,,,,,,,,,,,,
23,31638,00:21:59.570,1319.57,31908,00:22:10.831,1330.831,270,00:00:11.261,11.261,,,,,,,,,,,,,,,,,,,,,,,,,
24,31908,00:22:10.831,1330.831,32166,00:22:21.592,1341.592,258,00:00:10.761,10.761,,,,,,,,,,,,,,,,,,,,,,,,,
25,32166,00:22:21.592,1341.592,32478,00:22:34.605,1354.605,312,00:00:13.013,13.013,,,,,,,,,,,,,,,,,,,,,,,,,
26,32478,00:22:34.605,1354.605,32792,00:22:47.701,1367.701,314,00:00:13.096,13.096,,,,,,,,,,,,,,,,,,,,,,,,,
27,32792,00:22:47.701,1367.701,35126,00:24:25.048,1465.048,2334,00:01:37.347,97.347,,,,,,,,,,,,,,,,,,,,,,,,,
28,35126,00:24:25.048,1465.048,35592,00:24:44.484,1484.484,466,00:00:19.436,19.436,,,,,,,,,,,,,,,,,,,,,,,,,
29,35592,00:24:44.484,1484.484,37830,00:26:17.828,1577.828,2238,00:01:33.343,93.343,,,,,,,,,,,,,,,,,,,,,,,,,
