Timecode List:,00:00:00.000,00:00:40.332,00:00:41.291,00:01:10.028,00:01:34.887,00:01:38.724,00:04:37.861,00:04:59.341,00:05:26.535,00:07:38.792,00:07:39.042,00:08:31.386,00:08:47.194,00:09:09.383,00:09:10.133,00:10:56.365,00:11:29.606,00:13:58.338,00:15:26.260,00:16:14.224,00:16:46.465,00:18:44.124,00:18:44.833,00:19:24.206,00:22:34.271,00:22:47.284,00:23:02.633,00:23:18.649,00:23:29.743,00:23:43.465,00:23:58.689,00:24:34.224,00:24:34.433,00:26:11.363,00:26:11.989,00:27:09.171,00:27:09.838
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2367,00:01:38.724,98.724,6662,00:04:37.861,277.861,4295,00:02:59.137,179.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6662,00:04:37.861,277.861,7177,00:04:59.341,299.341,515,00:00:21.480,21.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7177,00:04:59.341,299.341,7829,00:05:26.535,326.535,652,00:00:27.194,27.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7829,00:05:26.535,326.535,11000,00:07:38.792,458.792,3171,00:02:12.257,132.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11006,00:07:39.042,459.042,12261,00:08:31.386,511.386,1255,00:00:52.344,52.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12261,00:08:31.386,511.386,12640,00:08:47.194,527.194,379,00:00:15.807,15.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,12640,00:08:47.194,527.194,13172,00:09:09.383,549.383,532,00:00:22.189,22.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,13190,00:09:10.133,550.133,15737,00:10:56.365,656.365,2547,00:01:46.231,106.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15737,00:10:56.365,656.365,16534,00:11:29.606,689.606,797,00:00:33.242,33.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16534,00:11:29.606,689.606,20100,00:13:58.338,838.338,3566,00:02:28.732,148.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20100,00:13:58.338,838.338,22208,00:15:26.260,926.26,2108,00:01:27.921,87.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22208,00:15:26.260,926.26,23358,00:16:14.224,974.224,1150,00:00:47.965,47.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,23358,00:16:14.224,974.224,24131,00:16:46.465,1006.465,773,00:00:32.241,32.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,24131,00:16:46.465,1006.465,26952,00:18:44.124,1124.124,2821,00:01:57.659,117.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,26969,00:18:44.833,1124.833,27913,00:19:24.206,1164.206,944,00:00:39.373,39.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,27913,00:19:24.206,1164.206,32470,00:22:34.271,1354.271,4557,00:03:10.065,190.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,32470,00:22:34.271,1354.271,32782,00:22:47.284,1367.284,312,00:00:13.013,13.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,32782,00:22:47.284,1367.284,33150,00:23:02.633,1382.633,368,00:00:15.349,15.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,33150,00:23:02.633,1382.633,33534,00:23:18.649,1398.649,384,00:00:16.016,16.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,33534,00:23:18.649,1398.649,33800,00:23:29.743,1409.743,266,00:00:11.094,11.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,33800,00:23:29.743,1409.743,34129,00:23:43.465,1423.465,329,00:00:13.722,13.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,34129,00:23:43.465,1423.465,34494,00:23:58.689,1438.689,365,00:00:15.224,15.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,34494,00:23:58.689,1438.689,35346,00:24:34.224,1474.224,852,00:00:35.536,35.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,35351,00:24:34.433,1474.433,37675,00:26:11.363,1571.363,2324,00:01:36.930,96.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
