Timecode List:,00:00:00.584,00:00:01.168,00:00:42.918,00:01:07.693,00:01:38.807,00:01:59.286,00:02:15.302,00:03:12.442,00:03:43.974,00:04:13.504,00:04:38.487,00:04:58.632,00:05:40.674,00:07:07.261,00:07:36.707,00:08:19.124,00:09:00.123,00:09:47.796,00:10:53.779,00:11:01.787,00:11:21.598,00:11:45.455,00:11:57.843,00:12:12.983,00:13:13.919,00:14:04.094,00:14:44.009,00:15:26.718,00:16:46.131,00:16:57.267,00:17:14.117,00:18:20.642,00:22:48.911,00:25:22.231,00:25:22.689,00:26:18.078,00:26:18.412
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2369,00:01:38.807,98.807,2860,00:01:59.286,119.286,491,00:00:20.479,20.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2860,00:01:59.286,119.286,3244,00:02:15.302,135.302,384,00:00:16.016,16.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3244,00:02:15.302,135.302,4614,00:03:12.442,192.442,1370,00:00:57.140,57.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4614,00:03:12.442,192.442,5370,00:03:43.974,223.974,756,00:00:31.532,31.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5370,00:03:43.974,223.974,6078,00:04:13.504,253.504,708,00:00:29.530,29.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6078,00:04:13.504,253.504,6677,00:04:38.487,278.487,599,00:00:24.983,24.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6677,00:04:38.487,278.487,7160,00:04:58.632,298.632,483,00:00:20.145,20.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7160,00:04:58.632,298.632,8168,00:05:40.674,340.674,1008,00:00:42.042,42.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8168,00:05:40.674,340.674,10244,00:07:07.261,427.261,2076,00:01:26.587,86.587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10244,00:07:07.261,427.261,10950,00:07:36.707,456.707,706,00:00:29.446,29.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10950,00:07:36.707,456.707,11967,00:08:19.124,499.124,1017,00:00:42.417,42.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11967,00:08:19.124,499.124,12950,00:09:00.123,540.123,983,00:00:40.999,40.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12950,00:09:00.123,540.123,14093,00:09:47.796,587.796,1143,00:00:47.673,47.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14093,00:09:47.796,587.796,15675,00:10:53.779,653.779,1582,00:01:05.983,65.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15675,00:10:53.779,653.779,15867,00:11:01.787,661.787,192,00:00:08.008,8.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15867,00:11:01.787,661.787,16342,00:11:21.598,681.598,475,00:00:19.811,19.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16342,00:11:21.598,681.598,16914,00:11:45.455,705.455,572,00:00:23.857,23.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16914,00:11:45.455,705.455,17211,00:11:57.843,717.843,297,00:00:12.387,12.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,17211,00:11:57.843,717.843,17574,00:12:12.983,732.983,363,00:00:15.140,15.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,17574,00:12:12.983,732.983,19035,00:13:13.919,793.919,1461,00:01:00.936,60.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,19035,00:13:13.919,793.919,20238,00:14:04.094,844.094,1203,00:00:50.175,50.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20238,00:14:04.094,844.094,21195,00:14:44.009,884.009,957,00:00:39.915,39.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21195,00:14:44.009,884.009,22219,00:15:26.718,926.718,1024,00:00:42.709,42.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22219,00:15:26.718,926.718,24123,00:16:46.131,1006.131,1904,00:01:19.413,79.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,24123,00:16:46.131,1006.131,24390,00:16:57.267,1017.267,267,00:00:11.136,11.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,24390,00:16:57.267,1017.267,24794,00:17:14.117,1034.117,404,00:00:16.850,16.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,24794,00:17:14.117,1034.117,26389,00:18:20.642,1100.642,1595,00:01:06.525,66.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,26389,00:18:20.642,1100.642,32821,00:22:48.911,1368.911,6432,00:04:28.268,268.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32821,00:22:48.911,1368.911,36497,00:25:22.231,1522.231,3676,00:02:33.320,153.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
